tipo_celular,module_size,EIF2A_MM,EIF2A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.207,76.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,624.0,0.103,14.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.121,29.0,353,41,11.61,2.02 (1.60-2.43),312,88.39,4.19 (4.02-4.37)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.099,46.0,275,46,16.73,2.32 (1.88-2.77),229,83.27,4.40 (4.13-4.67)
oligodendrocytes 20,403.0,0.187,73.0,18,7,38.89,1.07 (0.35-1.79),11,61.11,2.39 (1.48-3.30)
GABA like neurons 14,2402.0,0.113,12.0,455,43,9.45,2.76 (2.23-3.28),412,90.55,4.56 (4.37-4.74)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.067,32.0,235,19,8.09,3.65 (3.14-4.15),216,91.91,3.84 (3.59-4.09)
oligodendrocytes 10,2107.0,0.083,19.0,358,39,10.89,1.78 (1.40-2.16),319,89.11,4.21 (4.03-4.39)
connective tissue cells 21,111.0,0.366,90.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,90.0,0.333,95.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,115.0,0.358,74.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.104,29.0,238,5,2.1,1.83 (0.76-2.91),233,97.9,3.67 (3.45-3.89)
microglia 1,813.0,0.145,75.0,79,5,6.33,3.69 (2.27-5.11),74,93.67,3.06 (2.64-3.48)
oligodendrocytes 3,743.0,0.065,25.0,76,5,6.58,3.77 (2.33-5.22),71,93.42,3.12 (2.71-3.53)
oligodendrocytes 2,1630.0,0.137,40.0,154,7,4.55,3.51 (2.30-4.72),147,95.45,3.23 (2.96-3.50)
