tipo_celular,module_size,TANGO6_MM,TANGO6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.105,2.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,282.0,0.182,57.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,932.0,0.144,88.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.123,31.0,353,9,2.55,3.06 (2.23-3.90),344,97.45,3.92 (3.73-4.11)
GABA neurons expressing GLU receptors 22,703.0,0.075,3.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,1247.0,0.174,75.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,215.0,0.339,86.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.149,67.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,221.0,0.269,72.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,2090.0,0.243,93.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.101,68.0,66,2,3.03,1.10 (-0.65-2.86),64,96.97,3.30 (2.89-3.72)
oligodendrocyte progenitor cells 12,3303.0,0.082,54.0,276,6,2.17,3.02 (2.16-3.87),270,97.83,3.56 (3.33-3.78)
oligodendrocytes 10,1277.0,0.102,47.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,116.0,0.203,7.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68)
astrocytes 15,1768.0,0.106,68.0,105,4,3.81,2.48 (0.92-4.04),101,96.19,3.24 (2.90-3.59)
oligodendrocytes 16,74.0,0.12,11.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,83.0,0.222,8.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.156,58.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,1186.0,0.141,42.0,300,1,0.33,2.06 (NA-NA),299,99.67,3.80 (3.59-4.01)
microglia 1,813.0,0.134,68.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,357.0,0.059,17.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,407.0,0.188,79.0,122,4,3.28,3.36 (2.81-3.90),118,96.72,3.33 (2.93-3.73)
