tipo_celular,module_size,ABCC4_MM,ABCC4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235.0,0.622,98.0,140,7,5.0,2.72 (1.98-3.47),133,95.0,4.67 (4.38-4.95)
T cells 18,610.0,0.148,47.0,98,18,18.37,1.60 (1.08-2.11),80,81.63,3.51 (3.19-3.83)
astrocytes 5,499.0,0.204,76.0,32,4,12.5,4.61 (4.36-4.87),28,87.5,5.12 (4.52-5.72)
oligodendrocyte progenitor cells 7,4285.0,0.162,88.0,353,36,10.2,2.13 (1.70-2.56),317,89.8,4.16 (3.98-4.34)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,168.0,0.147,63.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.266,68.0,120,17,14.17,3.78 (2.82-4.74),103,85.83,4.76 (4.43-5.08)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.172,77.0,125,3,2.4,4.27 (3.72-4.82),122,97.6,3.32 (2.99-3.65)
astrocytes 8,218.0,0.172,73.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,3303.0,0.061,28.0,276,24,8.7,2.32 (1.94-2.70),252,91.3,3.70 (3.47-3.93)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,100.0,0.333,76.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52)
astrocytes 15,338.0,0.114,21.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,229.0,0.459,93.0,99,1,1.01,2.43 (NA-NA),98,98.99,4.32 (3.98-4.65)
astrocytes 4,787.0,0.15,48.0,65,5,7.69,4.26 (3.54-4.98),60,92.31,2.82 (2.41-3.23)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,315.0,0.372,96.0,144,5,3.47,3.20 (2.22-4.19),139,96.53,4.51 (4.20-4.83)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
