tipo_celular,module_size,GFM2_MM,GFM2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.161,49.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,477.0,0.125,24.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.177,97.0,353,25,7.08,1.39 (1.07-1.71),328,92.92,4.14 (3.97-4.32)
GABA neurons expressing GLU receptors 22,714.0,0.016,0.0,17,3,17.65,2.29 (2.29-2.29),14,82.35,2.31 (1.60-3.03)
GLU like neurons 17,1316.0,0.091,20.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,137.0,0.237,38.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA)
GABA neurons expressing GABA receptors 13,77.0,0.12,14.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,322.0,0.037,8.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,3052.0,0.164,71.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.058,24.0,276,14,5.07,1.62 (1.28-1.95),262,94.93,3.68 (3.46-3.90)
oligodendrocytes 10,735.0,0.093,48.0,277,2,0.72,3.49 (2.77-4.20),275,99.28,3.90 (3.65-4.14)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,71.0,0.233,63.0,1,0,0.0,NA,1,100.0,3.52 (NA-NA)
da neurons 6,228.0,0.052,0.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,110.0,0.351,75.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.128,78.0,238,4,1.68,2.02 (0.78-3.26),234,98.32,3.67 (3.45-3.89)
microglia 1,1615.0,0.092,25.0,161,21,13.04,1.25 (0.91-1.58),140,86.96,3.66 (3.40-3.91)
oligodendrocytes 3,854.0,0.073,29.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,1630.0,0.161,86.0,154,5,3.25,4.35 (2.17-6.54),149,96.75,3.20 (2.94-3.46)
