tipo_celular,module_size,STXBP6_MM,STXBP6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,165.0,0.201,58.0,51,1,1.96,4.70 (NA-NA),50,98.04,5.37 (4.68-6.05)
oligodendrocyte progenitor cells 7,4285.0,0.136,52.0,353,14,3.97,2.20 (1.72-2.69),339,96.03,3.98 (3.79-4.17)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,489.0,0.12,37.0,42,1,2.38,4.26 (NA-NA),41,97.62,6.05 (5.49-6.62)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,238.0,0.367,97.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,658.0,0.338,84.0,120,4,3.33,4.14 (2.64-5.65),116,96.67,4.63 (4.30-4.95)
oligodendrocytes 20,279.0,0.098,12.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,3052.0,0.144,55.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.242,73.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708.0,0.071,25.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08)
oligodendrocytes 10,1277.0,0.113,53.0,27,1,3.7,5.62 (NA-NA),26,96.3,5.39 (4.48-6.31)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,458.0,0.128,67.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,105.0,0.143,10.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,76.0,0.287,40.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,201.0,0.163,44.0,18,0,0.0,NA,18,100.0,4.54 (3.65-5.42)
oligodendrocytes 0,479.0,0.188,76.0,40,2,5.0,5.16 (4.26-6.06),38,95.0,5.91 (5.37-6.46)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.199,95.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804.0,0.158,56.0,84,4,4.76,1.48 (0.62-2.34),80,95.24,2.77 (2.42-3.11)
