tipo_celular,module_size,ARCN1_MM,ARCN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,518.0,0.147,45.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.128,38.0,353,35,9.92,2.53 (2.03-3.02),318,90.08,4.09 (3.90-4.28)
GABA neurons expressing GLU receptors 22,1069.0,0.135,27.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.119,24.0,410,30,7.32,3.26 (2.85-3.67),380,92.68,4.36 (4.16-4.56)
GABA neurons expressing GABA receptors 13,77.0,0.122,20.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,385.0,0.135,73.0,275,22,8.0,2.15 (1.49-2.81),253,92.0,4.18 (3.91-4.44)
oligodendrocytes 20,250.0,0.156,37.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2402.0,0.195,40.0,455,45,9.89,3.19 (2.73-3.65),410,90.11,4.53 (4.33-4.72)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.057,22.0,235,11,4.68,3.60 (2.99-4.22),224,95.32,3.84 (3.59-4.08)
oligodendrocytes 10,806.0,0.098,26.0,261,19,7.28,3.10 (2.62-3.57),242,92.72,4.50 (4.25-4.76)
connective tissue cells 21,88.0,0.351,83.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,74.0,0.283,87.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518.0,0.103,42.0,122,34,27.87,2.62 (2.21-3.03),88,72.13,4.78 (4.31-5.24)
astrocytes microglia 23,157.0,0.339,62.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.137,91.0,238,13,5.46,3.64 (2.88-4.40),225,94.54,3.64 (3.41-3.87)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.09,61.0,76,6,7.89,3.97 (3.56-4.39),70,92.11,3.08 (2.65-3.51)
oligodendrocytes 2,1630.0,0.2,100.0,154,1,0.65,5.02 (NA-NA),153,99.35,3.23 (2.97-3.50)
