tipo_celular,module_size,D2HGDH_MM,D2HGDH_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.126,26.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,624.0,0.172,66.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,932.0,0.09,20.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.135,50.0,353,18,5.1,1.27 (0.84-1.70),335,94.9,4.07 (3.90-4.25)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,676.0,0.046,19.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44)
GABA like neurons 14,2090.0,0.203,81.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,603.0,0.035,6.0,89,4,4.49,0.92 (0.81-1.03),85,95.51,2.85 (2.50-3.20)
oligodendrocyte progenitor cells 12,411.0,0.056,29.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93)
oligodendrocytes 10,2107.0,0.079,16.0,358,16,4.47,1.12 (0.71-1.53),342,95.53,4.04 (3.85-4.22)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,338.0,0.197,79.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,65.0,0.467,99.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,131.0,0.298,51.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,251.0,0.156,46.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86)
oligodendrocytes 0,479.0,0.096,5.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,1615.0,0.081,11.0,161,16,9.94,1.11 (0.71-1.52),145,90.06,3.57 (3.31-3.83)
oligodendrocytes 3,1003.0,0.053,7.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.141,47.0,154,2,1.3,2.47 (1.19-3.75),152,98.7,3.26 (2.99-3.52)
