tipo_celular,module_size,NRIP1_MM,NRIP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.176,59.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,610.0,0.132,34.0,98,35,35.71,2.05 (1.64-2.45),63,64.29,3.83 (3.49-4.16)
astrocytes 5,1656.0,0.151,94.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57)
oligodendrocyte progenitor cells 7,4285.0,0.186,99.0,353,62,17.56,2.25 (1.96-2.54),291,82.44,4.36 (4.18-4.55)
GABA neurons expressing GLU receptors 22,714.0,0.075,3.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94)
GLU like neurons 17,1247.0,0.042,2.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.155,70.0,297,4,1.35,4.12 (2.08-6.16),293,98.65,3.67 (3.46-3.87)
oligodendrocytes 20,271.0,0.756,100.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,3052.0,0.113,28.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,577.0,0.058,25.0,83,6,7.23,3.06 (0.06-6.05),77,92.77,3.26 (2.82-3.71)
oligodendrocyte progenitor cells 12,3303.0,0.07,38.0,276,48,17.39,2.17 (1.90-2.43),228,82.61,3.94 (3.70-4.18)
oligodendrocytes 10,2107.0,0.281,86.0,358,83,23.18,2.37 (2.09-2.64),275,76.82,4.47 (4.29-4.66)
connective tissue cells 21,152.0,0.264,54.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52)
astrocytes 15,1768.0,0.077,41.0,105,20,19.05,1.93 (1.39-2.46),85,80.95,3.55 (3.18-3.91)
oligodendrocytes 16,51.0,0.233,48.0,1,0,0.0,NA,1,100.0,3.22 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,108.0,0.169,0.0,8,0,0.0,NA,8,100.0,1.12 (0.45-1.80)
astrocytes 4,1807.0,0.169,89.0,104,26,25.0,1.91 (1.46-2.36),78,75.0,3.22 (2.91-3.53)
oligodendrocytes 0,2078.0,0.106,33.0,238,17,7.14,2.68 (2.16-3.20),221,92.86,3.72 (3.49-3.95)
microglia 1,1615.0,0.179,98.0,161,59,36.65,2.23 (1.94-2.52),102,63.35,4.12 (3.81-4.43)
oligodendrocytes 3,681.0,0.099,55.0,87,62,71.26,2.52 (2.23-2.81),25,28.74,2.75 (2.11-3.39)
oligodendrocytes 2,347.0,0.177,42.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
