tipo_celular,module_size,COPS8_MM,COPS8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,296.0,0.151,30.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30)
GABA neurons expressing GLU receptors 22,823.0,0.124,18.0,23,3,13.04,2.38 (1.03-3.73),20,86.96,2.40 (1.55-3.24)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.158,41.0,410,21,5.12,3.82 (3.01-4.63),389,94.88,4.27 (4.08-4.46)
GABA neurons expressing GABA receptors 13,90.0,0.21,84.0,4,0,0.0,NA,4,100.0,5.34 (2.61-8.07)
endothelial cells 9,338.0,0.11,40.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11)
oligodendrocytes 20,403.0,0.222,84.0,18,10,55.56,0.95 (0.48-1.41),8,44.44,3.04 (2.13-3.95)
GABA like neurons 14,2402.0,0.277,61.0,455,37,8.13,2.69 (2.03-3.35),418,91.87,4.52 (4.34-4.70)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,218.0,0.06,24.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,806.0,0.195,62.0,261,5,1.92,3.18 (NA-NA),256,98.08,4.37 (4.13-4.61)
connective tissue cells 21,111.0,0.392,95.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,107.0,0.227,55.0,11,3,27.27,1.55 (0.13-2.97),8,72.73,1.46 (0.64-2.28)
da neurons 6,228.0,0.091,41.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,96.0,0.416,94.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.083,5.0,238,9,3.78,3.37 (2.29-4.45),229,96.22,3.65 (3.42-3.87)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.115,50.0,345,21,6.09,4.43 (4.03-4.83),324,93.91,4.26 (4.04-4.48)
oligodendrocytes 2,1630.0,0.143,51.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52)
