tipo_celular,module_size,CACHD1_MM,CACHD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,222.0,0.101,7.0,98,2,2.04,3.27 (2.11-4.44),96,97.96,4.63 (4.22-5.04)
oligodendrocyte progenitor cells 7,200.0,0.169,43.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04)
GABA neurons expressing GLU receptors 22,599.0,0.128,12.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,685.0,0.12,42.0,135,1,0.74,1.29 (NA-NA),134,99.26,3.21 (2.90-3.51)
da like neurons 11,200.0,0.192,54.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,101.0,0.225,95.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,586.0,0.309,68.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.214,95.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,279.0,0.404,100.0,78,2,2.56,2.53 (2.34-2.73),76,97.44,4.37 (3.95-4.79)
oligodendrocyte progenitor cells 12,3303.0,0.094,68.0,276,1,0.36,0.79 (NA-NA),275,99.64,3.55 (3.34-3.77)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,101.0,0.213,21.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 15,418.0,0.177,56.0,54,9,16.67,2.42 (2.13-2.70),45,83.33,3.97 (3.48-4.47)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,141.0,0.295,71.0,30,0,0.0,NA,30,100.0,5.66 (4.78-6.55)
astrocytes 4,171.0,0.1,6.0,22,0,0.0,NA,22,100.0,4.54 (3.62-5.46)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
