tipo_celular,module_size,MN1_MM,MN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,423.0,0.133,39.0,80,5,6.25,4.24 (2.61-5.86),75,93.75,3.34 (2.84-3.83)
oligodendrocyte progenitor cells 7,4285.0,0.122,30.0,353,13,3.68,1.34 (0.71-1.96),340,96.32,4.02 (3.84-4.20)
GABA neurons expressing GLU receptors 22,1069.0,0.159,46.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.171,62.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.118,76.0,66,10,15.15,1.77 (0.41-3.13),56,84.85,3.54 (3.17-3.91)
oligodendrocyte progenitor cells 12,3303.0,0.052,17.0,276,6,2.17,1.28 (0.79-1.76),270,97.83,3.61 (3.39-3.83)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,208.0,0.017,1.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,111.0,0.356,79.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.129,14.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
