tipo_celular,module_size,RNF4_MM,RNF4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.088,7.0,71,12,16.9,2.47 (1.68-3.26),59,83.1,2.65 (2.18-3.13)
T cells 18,727.0,0.197,86.0,49,10,20.41,4.06 (3.15-4.97),39,79.59,2.18 (1.80-2.56)
astrocytes 5,423.0,0.09,8.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,4285.0,0.117,24.0,353,105,29.75,2.64 (2.39-2.90),248,70.25,4.54 (4.35-4.73)
GABA neurons expressing GLU receptors 22,703.0,0.144,26.0,23,2,8.7,1.85 (0.53-3.17),21,91.3,2.12 (1.34-2.89)
GLU like neurons 17,795.0,0.049,2.0,80,2,2.5,4.43 (4.17-4.69),78,97.5,5.73 (5.30-6.15)
da like neurons 11,172.0,0.09,6.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.089,12.0,141,12,8.51,3.02 (1.95-4.10),129,91.49,2.95 (2.71-3.20)
oligodendrocytes 20,253.0,0.029,3.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2090.0,0.194,76.0,74,20,27.03,2.50 (2.09-2.91),54,72.97,3.10 (2.62-3.58)
astrocytes 8,727.0,0.066,23.0,29,1,3.45,3.81 (NA-NA),28,96.55,2.31 (1.81-2.81)
oligodendrocyte progenitor cells 12,3303.0,0.049,14.0,276,85,30.8,2.75 (2.47-3.04),191,69.2,3.97 (3.70-4.24)
oligodendrocytes 10,2107.0,0.076,15.0,358,114,31.84,2.62 (2.37-2.87),244,68.16,4.64 (4.45-4.83)
connective tissue cells 21,106.0,0.119,2.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA)
astrocytes 15,1768.0,0.036,5.0,105,42,40.0,2.61 (2.24-2.98),63,60.0,3.65 (3.17-4.14)
oligodendrocytes 16,94.0,0.292,91.0,5,2,40.0,3.72 (3.59-3.84),3,60.0,2.06 (0.32-3.80)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,124.0,0.276,28.0,1,1,100.0,4.05 (NA-NA),0,0.0,NA
astrocytes 4,1807.0,0.164,84.0,104,41,39.42,2.35 (1.98-2.72),63,60.58,3.21 (2.84-3.59)
oligodendrocytes 0,2078.0,0.104,28.0,238,34,14.29,2.96 (2.53-3.38),204,85.71,3.74 (3.50-3.98)
microglia 1,958.0,0.092,21.0,290,38,13.1,3.10 (2.57-3.62),252,86.9,3.93 (3.68-4.17)
oligodendrocytes 3,639.0,0.046,5.0,15,8,53.33,1.58 (0.75-2.42),7,46.67,6.08 (5.29-6.88)
oligodendrocytes 2,1630.0,0.149,65.0,154,2,1.3,2.71 (NA-NA),152,98.7,3.25 (2.98-3.52)
