tipo_celular,module_size,PIGK_MM,PIGK_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181.0,0.182,34.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,393.0,0.106,16.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.128,38.0,353,25,7.08,1.45 (1.06-1.85),328,92.92,4.14 (3.96-4.31)
GABA neurons expressing GLU receptors 22,567.0,0.059,3.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,685.0,0.025,1.0,135,11,8.15,1.52 (1.00-2.04),124,91.85,3.37 (3.05-3.68)
da like neurons 11,200.0,0.189,52.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.066,10.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,403.0,0.059,24.0,18,9,50.0,0.88 (0.45-1.30),9,50.0,2.88 (1.98-3.78)
GABA like neurons 14,3052.0,0.154,63.0,125,1,0.8,3.17 (NA-NA),124,99.2,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.073,26.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,2107.0,0.061,9.0,358,22,6.15,1.31 (0.92-1.70),336,93.85,4.09 (3.91-4.27)
connective tissue cells 21,126.0,0.282,53.0,7,1,14.29,0.82 (NA-NA),6,85.71,1.64 (0.49-2.79)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,112.0,0.136,18.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,39.0,0.462,90.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.124,70.0,238,5,2.1,2.36 (1.27-3.45),233,97.9,3.67 (3.45-3.89)
microglia 1,1615.0,0.096,28.0,161,21,13.04,1.28 (0.88-1.68),140,86.96,3.65 (3.39-3.91)
oligodendrocytes 3,1003.0,0.098,53.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,921.0,0.126,32.0,200,5,2.5,2.09 (1.48-2.70),195,97.5,3.67 (3.40-3.94)
