tipo_celular,module_size,CLCN5_MM,CLCN5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.178,60.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.116,51.0,136,1,0.74,3.31 (NA-NA),135,99.26,3.21 (2.93-3.48)
oligodendrocyte progenitor cells 7,666.0,0.177,58.0,127,4,3.15,2.90 (1.87-3.93),123,96.85,3.88 (3.53-4.23)
GABA neurons expressing GLU receptors 22,599.0,0.25,69.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,204.0,0.075,10.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.085,10.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.078,31.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,1049.0,0.044,12.0,235,15,6.38,3.74 (3.24-4.23),220,93.62,3.83 (3.58-4.08)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,338.0,0.225,88.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,108.0,0.226,8.0,8,0,0.0,NA,8,100.0,1.12 (0.45-1.80)
astrocytes 4,1807.0,0.174,94.0,104,7,6.73,1.83 (0.80-2.86),97,93.27,2.94 (2.66-3.23)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,958.0,0.144,87.0,290,2,0.69,2.03 (1.97-2.09),288,99.31,3.83 (3.60-4.06)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
