tipo_celular,module_size,MLH3_MM,MLH3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,349.0,0.132,29.0,68,1,1.47,1.74 (NA-NA),67,98.53,4.42 (3.86-4.98)
astrocytes 5,1141.0,0.126,43.0,166,21,12.65,2.01 (1.56-2.46),145,87.35,3.64 (3.38-3.90)
oligodendrocyte progenitor cells 7,4285.0,0.16,85.0,353,32,9.07,1.72 (1.36-2.07),321,90.93,4.18 (4.00-4.36)
GABA neurons expressing GLU receptors 22,599.0,0.147,19.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,685.0,0.054,5.0,135,13,9.63,1.34 (0.89-1.78),122,90.37,3.35 (3.04-3.66)
da like neurons 11,172.0,0.075,2.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.108,34.0,297,6,2.02,2.97 (2.73-3.21),291,97.98,3.69 (3.48-3.90)
oligodendrocytes 20,279.0,0.29,74.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,3052.0,0.115,30.0,125,2,1.6,3.13 (2.95-3.30),123,98.4,3.36 (3.03-3.69)
astrocytes 8,771.0,0.066,23.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,3303.0,0.083,56.0,276,23,8.33,2.04 (1.62-2.46),253,91.67,3.72 (3.49-3.94)
oligodendrocytes 10,1277.0,0.112,52.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,90.0,0.224,14.0,3,3,100.0,2.29 (2.29-2.29),0,0.0,NA
astrocytes 15,1768.0,0.131,84.0,105,18,17.14,1.52 (1.16-1.88),87,82.86,3.57 (3.22-3.92)
oligodendrocytes 16,113.0,0.094,2.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,53.0,0.427,93.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.175,89.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,1186.0,0.133,30.0,300,2,0.67,3.04 (2.82-3.27),298,99.33,3.80 (3.59-4.01)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,357.0,0.185,88.0,127,2,1.57,2.65 (2.03-3.27),125,98.43,3.13 (2.79-3.47)
oligodendrocytes 2,804.0,0.173,72.0,84,7,8.33,1.43 (0.81-2.06),77,91.67,2.83 (2.48-3.18)
