tipo_celular,module_size,CACNA1D_MM,CACNA1D_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.069,3.0,71,1,1.41,0.21 (NA-NA),70,98.59,2.66 (2.25-3.07)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,156.0,0.21,82.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,436.0,0.142,59.0,219,45,20.55,4.14 (3.87-4.40),174,79.45,5.57 (5.22-5.92)
GABA neurons expressing GLU receptors 22,459.0,0.318,91.0,165,48,29.09,3.69 (3.33-4.05),117,70.91,5.86 (5.46-6.27)
GLU like neurons 17,380.0,0.188,62.0,39,1,2.56,2.06 (NA-NA),38,97.44,2.99 (2.43-3.56)
da like neurons 11,191.0,0.225,42.0,93,20,21.51,4.02 (3.54-4.50),73,78.49,6.26 (5.84-6.67)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,298.0,0.033,4.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,1300.0,0.284,83.0,306,63,20.59,3.53 (3.18-3.88),243,79.41,5.71 (5.42-5.99)
astrocytes 8,354.0,0.166,74.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,153.0,0.565,100.0,27,7,25.93,3.82 (2.34-5.31),20,74.07,5.56 (4.45-6.67)
oligodendrocytes 10,2107.0,0.137,47.0,358,14,3.91,0.94 (0.63-1.24),344,96.09,4.02 (3.84-4.21)
connective tissue cells 21,84.0,0.396,94.0,4,0,0.0,NA,4,100.0,4.34 (4.07-4.60)
astrocytes 15,268.0,0.036,8.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,149.0,0.266,67.0,70,5,7.14,5.59 (4.52-6.66),65,92.86,5.66 (5.14-6.17)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,253.0,0.351,96.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17)
astrocytes 4,201.0,0.128,15.0,18,2,11.11,2.53 (2.34-2.73),16,88.89,4.82 (3.91-5.74)
oligodendrocytes 0,309.0,0.063,1.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,315.0,0.145,37.0,144,4,2.78,3.07 (1.48-4.67),140,97.22,4.50 (4.19-4.82)
oligodendrocytes 3,242.0,0.097,28.0,6,1,16.67,5.39 (NA-NA),5,83.33,6.11 (4.97-7.24)
oligodendrocytes 2,804.0,0.146,45.0,84,3,3.57,0.65 (0.20-1.09),81,96.43,2.78 (2.45-3.12)
