tipo_celular,module_size,ZNF345_MM,ZNF345_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.098,9.0,58,1,1.72,0.87 (NA-NA),57,98.28,4.24 (3.83-4.65)
oligodendrocyte progenitor cells 7,4285.0,0.128,39.0,353,43,12.18,1.99 (1.63-2.34),310,87.82,4.25 (4.07-4.42)
GABA neurons expressing GLU receptors 22,1069.0,0.23,88.0,37,5,13.51,2.19 (1.75-2.64),32,86.49,2.15 (1.61-2.69)
GLU like neurons 17,795.0,0.064,7.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,853.0,0.122,43.0,133,48,36.09,2.31 (1.96-2.65),85,63.91,3.95 (3.55-4.36)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,250.0,0.028,6.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2090.0,0.141,40.0,74,15,20.27,2.32 (2.04-2.60),59,79.73,3.13 (2.66-3.60)
astrocytes 8,1266.0,0.076,44.0,66,10,15.15,1.45 (0.58-2.32),56,84.85,3.60 (3.20-4.00)
oligodendrocyte progenitor cells 12,3303.0,0.061,27.0,276,30,10.87,1.76 (1.51-2.00),246,89.13,3.84 (3.62-4.06)
oligodendrocytes 10,1277.0,0.105,48.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,86.0,0.259,39.0,7,0,0.0,NA,7,100.0,3.20 (2.46-3.95)
astrocytes 15,338.0,0.157,56.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,90.0,0.171,23.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,28.0,0.347,41.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.161,69.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,2078.0,0.107,34.0,238,11,4.62,2.39 (1.82-2.97),227,95.38,3.71 (3.48-3.93)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,854.0,0.088,48.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19)
oligodendrocytes 2,407.0,0.144,37.0,122,47,38.52,2.17 (1.81-2.52),75,61.48,4.45 (3.94-4.96)
