tipo_celular,module_size,MYH14_MM,MYH14_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.132,79.0,80,1,1.25,4.57 (NA-NA),79,98.75,3.66 (3.24-4.07)
oligodendrocyte progenitor cells 7,666.0,0.119,16.0,127,10,7.87,3.26 (1.25-5.27),117,92.13,3.87 (3.53-4.21)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,1247.0,0.186,78.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853.0,0.234,92.0,133,12,9.02,2.37 (1.14-3.61),121,90.98,3.35 (3.03-3.67)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,322.0,0.042,10.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2090.0,0.257,95.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.135,83.0,66,13,19.7,1.82 (1.02-2.62),53,80.3,3.64 (3.22-4.06)
oligodendrocyte progenitor cells 12,3303.0,0.107,81.0,276,6,2.17,1.75 (0.75-2.75),270,97.83,3.59 (3.38-3.81)
oligodendrocytes 10,735.0,0.056,17.0,277,1,0.36,4.26 (NA-NA),276,99.64,3.89 (3.65-4.13)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,418.0,0.052,27.0,54,1,1.85,1.29 (NA-NA),53,98.15,3.73 (3.30-4.17)
oligodendrocytes 16,151.0,0.175,40.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,300.0,0.108,26.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67)
astrocytes microglia 23,43.0,0.35,48.0,3,1,33.33,NA,2,66.67,1.82 (NA-NA)
astrocytes 4,721.0,0.171,84.0,61,2,3.28,1.74 (1.73-1.75),59,96.72,3.01 (2.59-3.43)
oligodendrocytes 0,2078.0,0.094,13.0,238,2,0.84,1.22 (-0.77-3.20),236,99.16,3.66 (3.44-3.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,357.0,0.082,40.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,347.0,0.126,10.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
