tipo_celular,module_size,LUC7L_MM,LUC7L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.135,34.0,71,6,8.45,1.71 (0.92-2.50),65,91.55,2.72 (2.28-3.16)
T cells 18,727.0,0.09,10.0,49,1,2.04,3.05 (NA-NA),48,97.96,2.41 (2.01-2.82)
astrocytes 5,932.0,0.135,82.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.138,54.0,353,43,12.18,2.12 (1.67-2.57),310,87.82,4.21 (4.04-4.39)
GABA neurons expressing GLU receptors 22,1069.0,0.204,77.0,37,4,10.81,2.23 (1.51-2.95),33,89.19,2.15 (1.63-2.66)
GLU like neurons 17,1247.0,0.228,91.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853.0,0.214,87.0,133,27,20.3,1.65 (1.27-2.03),106,79.7,3.73 (3.40-4.06)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.117,42.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,298.0,0.044,11.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,2090.0,0.241,92.0,74,5,6.76,1.86 (1.51-2.20),69,93.24,3.03 (2.64-3.43)
astrocytes 8,1266.0,0.112,73.0,66,8,12.12,0.84 (0.41-1.27),58,87.88,3.62 (3.23-4.00)
oligodendrocyte progenitor cells 12,3303.0,0.091,65.0,276,25,9.06,1.75 (1.42-2.07),251,90.94,3.76 (3.54-3.98)
oligodendrocytes 10,2107.0,0.128,42.0,358,38,10.61,1.78 (1.43-2.12),320,89.39,4.20 (4.02-4.38)
connective tissue cells 21,93.0,0.248,31.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
astrocytes 15,1401.0,0.064,29.0,96,1,1.04,2.89 (NA-NA),95,98.96,3.62 (3.17-4.08)
oligodendrocytes 16,71.0,0.228,82.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
da neurons 6,518.0,0.078,14.0,122,11,9.02,1.43 (0.73-2.13),111,90.98,4.30 (3.91-4.68)
astrocytes microglia 23,118.0,0.356,77.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.177,90.0,61,7,11.48,2.86 (2.18-3.54),54,88.52,2.98 (2.52-3.44)
oligodendrocytes 0,2078.0,0.119,59.0,238,4,1.68,1.70 (0.57-2.84),234,98.32,3.68 (3.45-3.90)
microglia 1,958.0,0.092,21.0,290,16,5.52,2.98 (2.65-3.32),274,94.48,3.87 (3.63-4.11)
oligodendrocytes 3,357.0,0.113,63.0,127,7,5.51,3.44 (2.99-3.88),120,94.49,3.10 (2.74-3.45)
oligodendrocytes 2,921.0,0.117,20.0,200,16,8.0,3.04 (2.72-3.37),184,92.0,3.68 (3.39-3.97)
