tipo_celular,module_size,SP110_MM,SP110_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.208,81.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,610.0,0.209,85.0,98,23,23.47,1.51 (1.13-1.89),75,76.53,3.69 (3.39-3.99)
astrocytes 5,1656.0,0.09,13.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57)
oligodendrocyte progenitor cells 7,4285.0,0.136,51.0,353,39,11.05,1.71 (1.44-1.98),314,88.95,4.25 (4.08-4.43)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.123,19.0,120,0,0.0,NA,120,100.0,4.61 (4.29-4.92)
oligodendrocytes 20,233.0,0.277,81.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,603.0,0.05,21.0,89,8,8.99,1.22 (1.03-1.40),81,91.01,2.98 (2.61-3.34)
oligodendrocyte progenitor cells 12,3303.0,0.061,28.0,276,33,11.96,1.83 (1.60-2.07),243,88.04,3.86 (3.63-4.09)
oligodendrocytes 10,2107.0,0.231,78.0,358,43,12.01,1.67 (1.42-1.92),315,87.99,4.29 (4.11-4.46)
connective tissue cells 21,93.0,0.301,60.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
astrocytes 15,261.0,0.241,85.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64)
oligodendrocytes 16,64.0,0.163,35.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,124.0,0.233,9.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA)
astrocytes 4,1807.0,0.112,7.0,104,22,21.15,1.59 (1.24-1.94),82,78.85,3.24 (2.94-3.54)
oligodendrocytes 0,479.0,0.097,5.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,813.0,0.099,27.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,639.0,0.099,53.0,15,3,20.0,0.35 (0.26-0.44),12,80.0,4.20 (2.87-5.53)
oligodendrocytes 2,1630.0,0.109,6.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
