tipo_celular,module_size,GPR135_MM,GPR135_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.138,61.0,166,3,1.81,0.43 (0.21-0.66),163,98.19,3.46 (3.21-3.70)
oligodendrocyte progenitor cells 7,4285.0,0.151,74.0,353,11,3.12,1.03 (0.43-1.64),342,96.88,4.01 (3.83-4.19)
GABA neurons expressing GLU receptors 22,823.0,0.218,75.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,489.0,0.09,18.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,209.0,0.1,9.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,403.0,0.154,62.0,18,5,27.78,0.56 (0.36-0.76),13,72.22,2.38 (1.61-3.16)
GABA like neurons 14,3052.0,0.134,45.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,283.0,0.061,16.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.075,45.0,276,6,2.17,1.67 (0.82-2.52),270,97.83,3.60 (3.38-3.81)
oligodendrocytes 10,2107.0,0.088,22.0,358,13,3.63,0.91 (0.44-1.38),345,96.37,4.01 (3.83-4.19)
connective tissue cells 21,101.0,0.289,60.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 15,1768.0,0.089,52.0,105,4,3.81,1.23 (0.25-2.22),101,96.19,3.30 (2.96-3.63)
oligodendrocytes 16,61.0,0.089,0.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,111.0,0.375,89.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.147,41.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.116,55.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.117,69.0,87,4,4.6,0.89 (0.20-1.58),83,95.4,2.67 (2.40-2.94)
oligodendrocytes 2,1630.0,0.123,18.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
