tipo_celular,module_size,RPL23A_MM,RPL23A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.359,71.0,98,29,29.59,2.76 (2.23-3.28),69,70.41,3.44 (2.79-4.10)
T cells 18,506.0,0.403,86.0,225,29,12.89,2.86 (2.32-3.41),196,87.11,3.73 (3.46-4.01)
astrocytes 5,328.0,0.316,88.0,128,9,7.03,3.57 (3.00-4.15),119,92.97,3.57 (3.20-3.94)
oligodendrocyte progenitor cells 7,448.0,0.327,92.0,108,9,8.33,3.57 (3.00-4.15),99,91.67,3.22 (2.74-3.70)
GABA neurons expressing GLU receptors 22,487.0,0.336,84.0,73,15,20.55,2.65 (2.00-3.30),58,79.45,2.78 (2.32-3.24)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.514,93.0,302,12,3.97,3.35 (2.61-4.10),290,96.03,4.01 (3.78-4.25)
oligodendrocytes 20,250.0,0.115,21.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2402.0,0.509,89.0,455,41,9.01,2.25 (1.77-2.72),414,90.99,4.60 (4.42-4.78)
astrocytes 8,603.0,0.166,85.0,89,18,20.22,2.40 (1.77-3.02),71,79.78,2.89 (2.47-3.31)
oligodendrocyte progenitor cells 12,1049.0,0.428,96.0,235,19,8.09,3.57 (3.17-3.98),216,91.91,3.84 (3.59-4.09)
oligodendrocytes 10,483.0,0.37,88.0,129,14,10.85,3.76 (3.29-4.24),115,89.15,3.38 (2.94-3.82)
connective tissue cells 21,142.0,0.371,81.0,55,9,16.36,1.90 (0.91-2.89),46,83.64,4.14 (3.13-5.14)
astrocytes 15,458.0,0.014,0.0,36,5,13.89,4.03 (3.13-4.94),31,86.11,3.71 (2.41-5.01)
oligodendrocytes 16,105.0,0.203,41.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00)
da neurons 6,729.0,0.154,51.0,182,16,8.79,2.77 (2.12-3.41),166,91.21,3.73 (3.47-4.00)
astrocytes microglia 23,137.0,0.491,89.0,188,35,18.62,2.33 (1.89-2.78),153,81.38,5.00 (4.66-5.34)
astrocytes 4,208.0,0.179,39.0,173,10,5.78,3.57 (3.00-4.15),163,94.22,3.81 (3.49-4.13)
oligodendrocytes 0,546.0,0.265,83.0,252,42,16.67,2.35 (1.87-2.82),210,83.33,4.50 (4.25-4.75)
microglia 1,406.0,0.522,90.0,278,9,3.24,3.87 (3.23-4.51),269,96.76,4.38 (4.10-4.67)
oligodendrocytes 3,303.0,0.211,76.0,154,9,5.84,3.57 (3.00-4.15),145,94.16,3.62 (3.29-3.96)
oligodendrocytes 2,526.0,0.312,66.0,213,8,3.76,3.69 (3.08-4.30),205,96.24,3.99 (3.71-4.28)
