tipo_celular,module_size,DESI2_MM,DESI2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.102,13.0,97,1,1.03,2.53 (NA-NA),96,98.97,3.06 (2.66-3.46)
T cells 18,610.0,0.137,38.0,98,4,4.08,1.59 (0.33-2.85),94,95.92,3.19 (2.87-3.51)
astrocytes 5,1656.0,0.11,40.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.138,55.0,353,8,2.27,1.58 (0.63-2.52),345,97.73,3.94 (3.76-4.13)
GABA neurons expressing GLU receptors 22,703.0,0.171,41.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,101.0,0.12,28.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.105,52.0,275,4,1.45,0.93 (0.21-1.65),271,98.55,4.02 (3.76-4.28)
oligodendrocytes 20,253.0,0.33,92.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,3052.0,0.109,25.0,125,1,0.8,NA,124,99.2,3.35 (3.03-3.68)
astrocytes 8,577.0,0.019,0.0,83,1,1.2,2.53 (NA-NA),82,98.8,3.26 (2.81-3.72)
oligodendrocyte progenitor cells 12,3303.0,0.087,61.0,276,7,2.54,2.06 (0.95-3.17),269,97.46,3.57 (3.35-3.79)
oligodendrocytes 10,2107.0,0.077,16.0,358,9,2.51,1.58 (0.63-2.52),349,97.49,3.91 (3.72-4.10)
connective tissue cells 21,106.0,0.315,64.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09)
astrocytes 15,418.0,0.034,13.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,81.0,0.282,85.0,11,0,0.0,NA,11,100.0,1.43 (0.65-2.21)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,46.0,0.386,78.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.169,89.0,104,4,3.85,2.06 (0.95-3.17),100,96.15,2.90 (2.61-3.19)
oligodendrocytes 0,2078.0,0.115,51.0,238,5,2.1,2.87 (2.19-3.55),233,97.9,3.64 (3.42-3.87)
microglia 1,958.0,0.102,35.0,290,0,0.0,NA,290,100.0,3.81 (3.58-4.04)
oligodendrocytes 3,681.0,0.085,40.0,87,2,2.3,1.25 (-0.12-2.62),85,97.7,2.62 (2.34-2.89)
oligodendrocytes 2,1630.0,0.141,49.0,154,2,1.3,NA,152,98.7,3.24 (2.98-3.51)
