tipo_celular,module_size,OSBPL10_MM,OSBPL10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,823.0,0.222,77.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,1316.0,0.165,81.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,289.0,0.364,99.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.224,58.0,120,2,1.67,3.48 (3.47-3.49),118,98.33,4.63 (4.31-4.95)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.239,92.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,93.0,0.339,80.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.073,7.0,124,3,2.42,2.46 (0.44-4.47),121,97.58,4.24 (3.85-4.64)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
