tipo_celular,module_size,CLDN10_MM,CLDN10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,117.0,0.095,13.0,28,1,3.57,2.43 (NA-NA),27,96.43,5.43 (4.87-5.98)
oligodendrocyte progenitor cells 7,4285.0,0.117,24.0,353,8,2.27,1.74 (1.07-2.40),345,97.73,3.95 (3.77-4.14)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,283.0,0.081,20.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.074,37.0,235,1,0.43,1.29 (NA-NA),234,99.57,3.84 (3.61-4.07)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,338.0,0.293,98.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,116.0,0.279,20.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80)
astrocytes 4,1807.0,0.152,64.0,104,3,2.88,0.90 (-0.14-1.94),101,97.12,2.93 (2.65-3.20)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
