tipo_celular,module_size,NRXN2_MM,NRXN2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.085,9.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.08,2.0,353,16,4.53,2.46 (1.93-2.99),337,95.47,3.98 (3.79-4.17)
GABA neurons expressing GLU receptors 22,487.0,0.299,76.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,1316.0,0.166,81.0,101,1,0.99,2.85 (NA-NA),100,99.01,3.05 (2.70-3.41)
da like neurons 11,853.0,0.146,60.0,133,4,3.01,2.11 (0.76-3.47),129,96.99,3.30 (2.98-3.61)
GABA neurons expressing GABA receptors 13,265.0,0.17,57.0,78,10,12.82,3.86 (2.63-5.10),68,87.18,4.43 (4.00-4.87)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,358.0,0.144,46.0,31,1,3.23,3.24 (NA-NA),30,96.77,2.33 (1.89-2.77)
GABA like neurons 14,1300.0,0.237,64.0,306,48,15.69,3.57 (2.91-4.24),258,84.31,5.46 (5.20-5.72)
astrocytes 8,520.0,0.067,22.0,288,18,6.25,3.27 (2.67-3.88),270,93.75,4.25 (4.04-4.46)
oligodendrocyte progenitor cells 12,3303.0,0.066,34.0,276,11,3.99,2.08 (1.50-2.66),265,96.01,3.62 (3.40-3.84)
oligodendrocytes 10,806.0,0.209,65.0,261,13,4.98,3.49 (2.42-4.56),248,95.02,4.41 (4.16-4.66)
connective tissue cells 21,145.0,0.374,87.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,338.0,0.147,49.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,122.0,0.192,41.0,11,0,0.0,NA,11,100.0,3.57 (3.08-4.06)
da neurons 6,307.0,0.165,80.0,95,9,9.47,5.20 (4.51-5.88),86,90.53,4.80 (4.32-5.29)
astrocytes microglia 23,125.0,0.302,40.0,3,0,0.0,NA,3,100.0,NA
astrocytes 4,1807.0,0.161,80.0,104,4,3.85,1.55 (0.08-3.01),100,96.15,2.92 (2.64-3.20)
oligodendrocytes 0,309.0,0.092,10.0,30,2,6.67,NA,28,93.33,6.09 (5.49-6.69)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,242.0,0.117,42.0,6,2,33.33,7.24 (5.20-9.28),4,66.67,5.36 (5.10-5.61)
oligodendrocytes 2,131.0,0.12,10.0,20,3,15.0,3.68 (1.21-6.15),17,85.0,4.70 (3.97-5.44)
