tipo_celular,module_size,PSMG4_MM,PSMG4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,727.0,0.053,1.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,322.0,0.166,48.0,58,0,0.0,NA,58,100.0,4.17 (3.75-4.60)
oligodendrocyte progenitor cells 7,4285.0,0.169,93.0,353,2,0.57,0.67 (0.43-0.90),351,99.43,3.91 (3.73-4.10)
GABA neurons expressing GLU receptors 22,1069.0,0.265,96.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,489.0,0.185,73.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,97.0,0.212,56.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.037,7.0,169,2,1.18,2.86 (-1.67-7.38),167,98.82,3.49 (3.27-3.71)
GABA like neurons 14,3052.0,0.134,45.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,262.0,0.165,62.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,3303.0,0.079,50.0,276,2,0.72,0.67 (0.43-0.90),274,99.28,3.57 (3.35-3.79)
oligodendrocytes 10,2107.0,0.102,30.0,358,2,0.56,0.67 (0.43-0.90),356,99.44,3.88 (3.69-4.08)
connective tissue cells 21,152.0,0.19,16.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52)
astrocytes 15,261.0,0.111,27.0,8,0,0.0,NA,8,100.0,3.68 (1.65-5.71)
oligodendrocytes 16,122.0,0.242,77.0,11,0,0.0,NA,11,100.0,3.57 (3.08-4.06)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,114.0,0.285,38.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,171.0,0.152,35.0,22,0,0.0,NA,22,100.0,4.54 (3.62-5.46)
oligodendrocytes 0,2078.0,0.104,29.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.076,41.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.135,34.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
