tipo_celular,module_size,AAMDC_MM,AAMDC_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.13,25.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,518.0,0.093,9.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,932.0,0.091,22.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.132,46.0,353,5,1.42,0.78 (0.16-1.41),348,98.58,3.95 (3.76-4.13)
GABA neurons expressing GLU receptors 22,487.0,0.146,19.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,637.0,0.106,23.0,91,5,5.49,1.19 (0.27-2.11),86,94.51,4.81 (4.30-5.31)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.096,14.0,302,1,0.33,0.21 (NA-NA),301,99.67,4.00 (3.77-4.22)
oligodendrocytes 20,271.0,0.205,63.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2402.0,0.112,12.0,455,3,0.66,0.59 (0.19-0.98),452,99.34,4.38 (4.19-4.56)
astrocytes 8,354.0,0.042,6.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,1049.0,0.062,28.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,1277.0,0.104,48.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,102.0,0.267,40.0,5,0,0.0,NA,5,100.0,1.38 (1.02-1.75)
astrocytes 15,208.0,0.023,4.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,107.0,0.176,17.0,11,0,0.0,NA,11,100.0,1.49 (0.81-2.16)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,134.0,0.264,24.0,2,0,0.0,NA,2,100.0,2.08 (-0.39-4.55)
astrocytes 4,787.0,0.158,63.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.09,10.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87)
microglia 1,1615.0,0.105,43.0,161,5,3.11,0.78 (0.16-1.41),156,96.89,3.37 (3.11-3.64)
oligodendrocytes 3,681.0,0.059,15.0,87,2,2.3,1.25 (-0.12-2.62),85,97.7,2.62 (2.34-2.89)
oligodendrocytes 2,921.0,0.081,2.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89)
