tipo_celular,module_size,METTL9_MM,METTL9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.143,37.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58)
T cells 18,518.0,0.1,14.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,1656.0,0.124,65.0,136,1,0.74,3.74 (NA-NA),135,99.26,3.20 (2.93-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.11,17.0,353,12,3.4,1.35 (0.74-1.97),341,96.6,4.01 (3.82-4.19)
GABA neurons expressing GLU receptors 22,703.0,0.245,81.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82)
GLU like neurons 17,1316.0,0.088,18.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,215.0,0.136,30.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.083,15.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,279.0,0.233,59.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,3052.0,0.197,90.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,140.0,0.035,6.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.063,30.0,276,5,1.81,2.10 (1.23-2.96),271,98.19,3.58 (3.36-3.80)
oligodendrocytes 10,483.0,0.09,37.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,139.0,0.452,98.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73)
astrocytes 15,458.0,0.07,34.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,151.0,0.254,88.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,553.0,0.058,2.0,124,2,1.61,1.54 (-0.69-3.77),122,98.39,4.24 (3.85-4.63)
astrocytes microglia 23,115.0,0.292,37.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.151,62.0,104,7,6.73,2.17 (1.25-3.09),97,93.27,2.92 (2.62-3.21)
oligodendrocytes 0,2078.0,0.097,18.0,238,3,1.26,2.81 (2.40-3.22),235,98.74,3.65 (3.43-3.87)
microglia 1,1615.0,0.152,90.0,161,11,6.83,1.27 (0.62-1.92),150,93.17,3.45 (3.19-3.72)
oligodendrocytes 3,743.0,0.064,22.0,76,1,1.32,3.74 (NA-NA),75,98.68,3.15 (2.75-3.55)
oligodendrocytes 2,1630.0,0.127,23.0,154,1,0.65,NA,153,99.35,3.24 (2.98-3.51)
