tipo_celular,module_size,PPP1R3F_MM,PPP1R3F_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.144,90.0,136,2,1.47,1.37 (1.27-1.47),134,98.53,3.24 (2.97-3.51)
oligodendrocyte progenitor cells 7,4285.0,0.113,20.0,353,18,5.1,1.30 (0.98-1.62),335,94.9,4.06 (3.88-4.24)
GABA neurons expressing GLU receptors 22,400.0,0.272,84.0,24,3,12.5,0.67 (0.26-1.08),21,87.5,2.37 (1.85-2.89)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,279.0,0.256,65.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,2402.0,0.191,38.0,455,12,2.64,1.35 (0.81-1.89),443,97.36,4.45 (4.27-4.64)
astrocytes 8,520.0,0.053,15.0,288,8,2.78,1.80 (0.86-2.74),280,97.22,4.24 (4.04-4.44)
oligodendrocyte progenitor cells 12,708.0,0.086,37.0,32,2,6.25,0.26 (NA-NA),30,93.75,3.36 (2.55-4.16)
oligodendrocytes 10,806.0,0.063,12.0,261,3,1.15,2.58 (1.32-3.84),258,98.85,4.39 (4.15-4.64)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,367.0,0.269,97.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,116.0,0.268,87.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68)
da neurons 6,448.0,0.044,1.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,58.0,0.456,97.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.152,64.0,104,10,9.62,1.07 (0.74-1.40),94,90.38,3.07 (2.79-3.35)
oligodendrocytes 0,86.0,0.117,20.0,2,0,0.0,NA,2,100.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.098,70.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.165,91.0,154,1,0.65,NA,153,99.35,3.24 (2.98-3.51)
