tipo_celular,module_size,SOS2_MM,SOS2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.174,48.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91)
T cells 18,349.0,0.162,44.0,68,7,10.29,2.58 (1.17-4.00),61,89.71,4.65 (4.08-5.21)
astrocytes 5,1141.0,0.12,33.0,166,5,3.01,2.93 (0.80-5.05),161,96.99,3.41 (3.16-3.66)
oligodendrocyte progenitor cells 7,4285.0,0.144,63.0,353,8,2.27,2.22 (0.75-3.69),345,97.73,3.94 (3.75-4.12)
GABA neurons expressing GLU receptors 22,400.0,0.18,39.0,24,3,12.5,1.58 (-0.37-3.52),21,87.5,2.24 (1.71-2.77)
GLU like neurons 17,1316.0,0.149,72.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,265.0,0.126,24.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.161,75.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,228.0,0.165,37.0,5,3,60.0,1.91 (0.06-3.75),2,40.0,5.27 (2.10-8.45)
GABA like neurons 14,3052.0,0.198,91.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,218.0,0.075,42.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,3303.0,0.126,92.0,276,4,1.45,1.10 (0.52-1.69),272,98.55,3.59 (3.37-3.81)
oligodendrocytes 10,2107.0,0.225,76.0,358,13,3.63,2.00 (0.95-3.05),345,96.37,3.95 (3.76-4.14)
connective tissue cells 21,106.0,0.235,23.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09)
astrocytes 15,377.0,0.125,29.0,14,0,0.0,NA,14,100.0,2.14 (0.89-3.38)
oligodendrocytes 16,82.0,0.167,24.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,190.0,0.284,61.0,7,2,28.57,7.18 (NA-NA),5,71.43,4.37 (3.67-5.07)
astrocytes 4,721.0,0.141,30.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,1186.0,0.146,52.0,300,3,1.0,3.63 (3.49-3.76),297,99.0,3.79 (3.59-4.00)
microglia 1,1615.0,0.138,83.0,161,10,6.21,2.50 (1.29-3.72),151,93.79,3.34 (3.06-3.61)
oligodendrocytes 3,1003.0,0.09,44.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,921.0,0.101,6.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89)
