tipo_celular,module_size,CSMD3_MM,CSMD3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,156.0,0.237,89.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,436.0,0.258,96.0,219,19,8.68,4.75 (3.91-5.59),200,91.32,5.28 (4.97-5.58)
GABA neurons expressing GLU receptors 22,459.0,0.446,99.0,165,13,7.88,2.40 (1.76-3.05),152,92.12,5.35 (5.02-5.68)
GLU like neurons 17,795.0,0.322,95.0,80,3,3.75,3.14 (1.94-4.35),77,96.25,5.82 (5.42-6.22)
da like neurons 11,197.0,0.439,98.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,90.0,0.102,7.0,4,0,0.0,NA,4,100.0,5.34 (2.61-8.07)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,228.0,0.223,58.0,5,0,0.0,NA,5,100.0,3.25 (1.10-5.41)
GABA like neurons 14,1300.0,0.181,37.0,306,32,10.46,3.69 (2.94-4.45),274,89.54,5.33 (5.07-5.60)
astrocytes 8,727.0,0.17,81.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,411.0,0.511,99.0,103,10,9.71,5.27 (3.96-6.58),93,90.29,5.59 (5.18-5.99)
oligodendrocytes 10,1277.0,0.125,61.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,377.0,0.163,57.0,14,0,0.0,NA,14,100.0,2.14 (0.89-3.38)
oligodendrocytes 16,149.0,0.271,69.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12)
da neurons 6,518.0,0.089,26.0,122,10,8.2,4.08 (2.46-5.70),112,91.8,3.98 (3.58-4.38)
astrocytes microglia 23,122.0,0.181,10.0,46,3,6.52,6.98 (5.71-8.25),43,93.48,4.88 (4.31-5.46)
astrocytes 4,161.0,0.235,72.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91)
oligodendrocytes 0,309.0,0.217,90.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.192,94.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,348.0,0.302,82.0,114,24,21.05,4.53 (3.80-5.27),90,78.95,5.33 (4.85-5.81)
