tipo_celular,module_size,GPR158_MM,GPR158_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.256,80.0,58,15,25.86,3.11 (2.48-3.74),43,74.14,4.64 (4.17-5.11)
oligodendrocyte progenitor cells 7,666.0,0.029,1.0,127,20,15.75,2.62 (2.13-3.11),107,84.25,4.20 (3.83-4.57)
GABA neurons expressing GLU receptors 22,459.0,0.191,64.0,165,27,16.36,4.15 (3.29-5.01),138,83.64,5.32 (4.97-5.68)
GLU like neurons 17,795.0,0.243,85.0,80,7,8.75,4.05 (2.62-5.49),73,91.25,5.84 (5.43-6.25)
da like neurons 11,82.0,0.432,88.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,265.0,0.13,33.0,78,12,15.38,3.90 (2.92-4.87),66,84.62,4.45 (3.99-4.91)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,403.0,0.188,74.0,18,1,5.56,2.74 (NA-NA),17,94.44,1.83 (1.12-2.54)
GABA like neurons 14,1300.0,0.157,26.0,306,57,18.63,4.01 (3.48-4.55),249,81.37,5.49 (5.21-5.76)
astrocytes 8,771.0,0.03,2.0,48,2,4.17,3.49 (-1.81-8.80),46,95.83,4.48 (3.72-5.24)
oligodendrocyte progenitor cells 12,254.0,0.353,70.0,37,20,54.05,4.01 (3.37-4.65),17,45.95,5.27 (4.29-6.25)
oligodendrocytes 10,806.0,0.162,52.0,261,17,6.51,4.13 (3.23-5.03),244,93.49,4.38 (4.13-4.63)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.181,98.0,105,6,5.71,2.23 (1.20-3.27),99,94.29,3.28 (2.93-3.62)
oligodendrocytes 16,123.0,0.314,96.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,518.0,0.189,94.0,122,13,10.66,2.47 (1.81-3.14),109,89.34,4.23 (3.81-4.66)
astrocytes microglia 23,125.0,0.391,83.0,3,0,0.0,NA,3,100.0,NA
astrocytes 4,161.0,0.212,67.0,45,3,6.67,5.84 (5.19-6.48),42,93.33,5.22 (4.53-5.91)
oligodendrocytes 0,309.0,0.134,50.0,30,4,13.33,5.80 (5.47-6.12),26,86.67,6.15 (5.42-6.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,242.0,0.124,45.0,6,1,16.67,6.20 (NA-NA),5,83.33,5.94 (4.78-7.11)
oligodendrocytes 2,347.0,0.35,94.0,15,1,6.67,6.09 (NA-NA),14,93.33,4.62 (3.89-5.35)
