tipo_celular,module_size,KCND3_MM,KCND3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.154,43.0,58,3,5.17,2.12 (0.89-3.35),55,94.83,4.31 (3.89-4.73)
oligodendrocyte progenitor cells 7,436.0,0.06,8.0,219,37,16.89,4.49 (3.99-4.99),182,83.11,5.41 (5.08-5.74)
GABA neurons expressing GLU receptors 22,599.0,0.227,61.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,489.0,0.378,96.0,42,13,30.95,5.52 (4.69-6.36),29,69.05,6.16 (5.47-6.86)
da like neurons 11,200.0,0.35,91.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,266.0,0.186,63.0,118,25,21.19,4.28 (3.81-4.75),93,78.81,4.90 (4.46-5.35)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.163,29.0,306,54,17.65,3.83 (3.34-4.32),252,82.35,5.48 (5.19-5.76)
astrocytes 8,520.0,0.121,52.0,288,14,4.86,3.19 (2.21-4.16),274,95.14,4.23 (4.03-4.43)
oligodendrocyte progenitor cells 12,153.0,0.501,89.0,27,8,29.63,4.74 (3.77-5.70),19,70.37,4.78 (2.82-6.75)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,101.0,0.466,87.0,116,21,18.1,4.16 (3.22-5.11),95,81.9,4.74 (4.28-5.20)
astrocytes 15,1768.0,0.079,43.0,105,4,3.81,0.87 (0.13-1.61),101,96.19,3.31 (2.98-3.65)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,307.0,0.283,98.0,95,12,12.63,4.95 (4.46-5.45),83,87.37,4.83 (4.32-5.33)
astrocytes microglia 23,76.0,0.259,20.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,171.0,0.239,78.0,22,0,0.0,NA,22,100.0,4.54 (3.62-5.46)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
