tipo_celular,module_size,EIF2AK1_MM,EIF2AK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184.0,0.35,96.0,21,7,33.33,0.87 (0.20-1.54),14,66.67,3.07 (2.52-3.62)
T cells 18,282.0,0.093,5.0,12,3,25.0,5.12 (4.88-5.36),9,75.0,2.70 (1.43-3.96)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.142,61.0,353,45,12.75,2.38 (1.95-2.80),308,87.25,4.19 (4.01-4.37)
GABA neurons expressing GLU receptors 22,703.0,0.108,11.0,23,2,8.7,1.85 (0.53-3.17),21,91.3,2.12 (1.34-2.89)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.103,17.0,410,11,2.68,4.07 (2.87-5.27),399,97.32,4.25 (4.06-4.44)
GABA neurons expressing GABA receptors 13,90.0,0.159,47.0,4,0,0.0,NA,4,100.0,5.34 (2.61-8.07)
endothelial cells 9,338.0,0.068,11.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11)
oligodendrocytes 20,938.0,0.086,30.0,169,8,4.73,2.58 (1.27-3.88),161,95.27,3.54 (3.32-3.75)
GABA like neurons 14,2402.0,0.251,56.0,455,23,5.05,2.24 (1.36-3.13),432,94.95,4.50 (4.32-4.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.026,1.0,276,36,13.04,2.45 (2.03-2.88),240,86.96,3.75 (3.52-3.99)
oligodendrocytes 10,483.0,0.177,68.0,129,3,2.33,3.82 (2.69-4.94),126,97.67,3.42 (3.01-3.82)
connective tissue cells 21,106.0,0.276,47.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,116.0,0.205,50.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68)
da neurons 6,409.0,0.074,13.0,235,4,1.7,1.44 (0.56-2.32),231,98.3,4.04 (3.79-4.28)
astrocytes microglia 23,111.0,0.361,70.0,2,0,0.0,NA,2,100.0,1.26 (-0.42-2.94)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.136,89.0,238,9,3.78,2.72 (2.03-3.42),229,96.22,3.68 (3.45-3.91)
microglia 1,1615.0,0.083,13.0,161,40,24.84,2.17 (1.75-2.58),121,75.16,3.74 (3.45-4.03)
oligodendrocytes 3,743.0,0.049,7.0,76,3,3.95,6.11 (3.96-8.27),73,96.05,3.02 (2.65-3.40)
oligodendrocytes 2,1630.0,0.147,61.0,154,1,0.65,2.76 (NA-NA),153,99.35,3.25 (2.98-3.52)
