tipo_celular,module_size,CTNND1_MM,CTNND1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.278,84.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.11,41.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.162,88.0,353,18,5.1,1.43 (0.93-1.93),335,94.9,4.06 (3.88-4.24)
GABA neurons expressing GLU receptors 22,703.0,0.331,98.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,215.0,0.075,5.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.128,22.0,120,20,16.67,3.54 (2.99-4.10),100,83.33,4.86 (4.51-5.21)
oligodendrocytes 20,253.0,0.034,4.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,3052.0,0.101,18.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,577.0,0.056,24.0,83,1,1.2,0.87 (NA-NA),82,98.8,3.29 (2.84-3.74)
oligodendrocyte progenitor cells 12,3303.0,0.085,58.0,276,9,3.26,1.51 (0.87-2.16),267,96.74,3.62 (3.40-3.84)
oligodendrocytes 10,2107.0,0.065,11.0,358,20,5.59,1.28 (0.85-1.71),338,94.41,4.07 (3.89-4.25)
connective tissue cells 21,139.0,0.355,77.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,1401.0,0.031,4.0,96,3,3.12,3.79 (2.02-5.57),93,96.88,3.61 (3.15-4.07)
oligodendrocytes 16,122.0,0.214,55.0,11,0,0.0,NA,11,100.0,3.57 (3.08-4.06)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,110.0,0.267,21.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.169,88.0,104,6,5.77,0.87 (0.37-1.36),98,94.23,2.99 (2.72-3.27)
oligodendrocytes 0,2078.0,0.125,72.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87)
microglia 1,958.0,0.133,79.0,290,13,4.48,2.45 (1.68-3.23),277,95.52,3.89 (3.66-4.12)
oligodendrocytes 3,743.0,0.044,4.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.155,77.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
