tipo_celular,module_size,CCDC7_MM,CCDC7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206.0,0.129,7.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,727.0,0.226,94.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,499.0,0.196,70.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,4285.0,0.132,45.0,353,2,0.57,1.25 (-0.12-2.62),351,99.43,3.91 (3.72-4.09)
GABA neurons expressing GLU receptors 22,714.0,0.303,91.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,795.0,0.156,63.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,82.0,0.469,93.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.164,76.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,253.0,0.049,12.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,1300.0,0.203,49.0,306,1,0.33,1.95 (NA-NA),305,99.67,5.11 (4.84-5.37)
astrocytes 8,771.0,0.092,38.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708.0,0.112,50.0,25,0,0.0,NA,25,100.0,2.87 (1.90-3.84)
oligodendrocytes 10,2107.0,0.2,69.0,358,2,0.56,1.25 (-0.12-2.62),356,99.44,3.88 (3.69-4.07)
connective tissue cells 21,84.0,0.289,55.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,261.0,0.124,34.0,8,0,0.0,NA,8,100.0,3.68 (1.65-5.71)
oligodendrocytes 16,199.0,0.149,31.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,39.0,0.247,14.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752.0,0.184,91.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,479.0,0.121,23.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,1615.0,0.135,81.0,161,2,1.24,1.25 (-0.12-2.62),159,98.76,3.30 (3.03-3.57)
oligodendrocytes 3,639.0,0.157,84.0,15,0,0.0,NA,15,100.0,3.31 (1.95-4.68)
oligodendrocytes 2,804.0,0.23,99.0,84,0,0.0,NA,84,100.0,2.69 (2.35-3.02)
