tipo_celular,module_size,MITF_MM,MITF_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.365,98.0,19,6,31.58,4.06 (4.04-4.08),13,68.42,1.81 (1.03-2.59)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.147,72.0,166,42,25.3,2.35 (2.03-2.66),124,74.7,3.85 (3.56-4.14)
oligodendrocyte progenitor cells 7,4285.0,0.094,6.0,353,63,17.85,2.08 (1.83-2.33),290,82.15,4.44 (4.26-4.61)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,380.0,0.276,95.0,39,1,2.56,1.74 (NA-NA),38,97.44,3.00 (2.44-3.56)
da like neurons 11,289.0,0.177,46.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.215,53.0,74,1,1.35,1.74 (NA-NA),73,98.65,5.54 (5.00-6.08)
oligodendrocytes 20,322.0,0.089,34.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,3052.0,0.165,72.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,354.0,0.167,74.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,218.0,0.328,65.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,2107.0,0.153,52.0,358,75,20.95,2.18 (1.93-2.43),283,79.05,4.53 (4.35-4.70)
connective tissue cells 21,110.0,0.257,46.0,13,1,7.69,0.94 (NA-NA),12,92.31,3.30 (2.48-4.11)
astrocytes 15,1768.0,0.127,82.0,105,21,20.0,1.51 (1.22-1.80),84,80.0,3.68 (3.33-4.03)
oligodendrocytes 16,151.0,0.238,77.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,190.0,0.199,8.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92)
astrocytes 4,787.0,0.132,18.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37)
oligodendrocytes 0,1186.0,0.184,95.0,300,15,5.0,3.37 (2.96-3.77),285,95.0,3.82 (3.60-4.04)
microglia 1,346.0,0.501,100.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,1003.0,0.152,86.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65)
oligodendrocytes 2,804.0,0.203,91.0,84,6,7.14,1.04 (0.56-1.52),78,92.86,2.85 (2.51-3.19)
