tipo_celular,module_size,SLC22A23_MM,SLC22A23_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.287,91.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,165.0,0.155,39.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01)
oligodendrocyte progenitor cells 7,229.0,0.167,38.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,459.0,0.202,67.0,165,0,0.0,NA,165,100.0,5.06 (4.72-5.41)
GLU like neurons 17,637.0,0.348,88.0,91,1,1.1,1.95 (NA-NA),90,98.9,4.58 (4.05-5.10)
da like neurons 11,97.0,0.444,92.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,288.0,0.169,50.0,93,0,0.0,NA,93,100.0,5.15 (4.65-5.64)
endothelial cells 9,1653.0,0.187,85.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,676.0,0.467,76.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44)
GABA like neurons 14,1300.0,0.266,77.0,306,1,0.33,1.95 (NA-NA),305,99.67,5.11 (4.84-5.37)
astrocytes 8,771.0,0.375,87.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708.0,0.464,96.0,32,0,0.0,NA,32,100.0,3.25 (2.44-4.05)
oligodendrocytes 10,236.0,0.534,63.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51)
connective tissue cells 21,147.0,0.246,53.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80)
astrocytes 15,458.0,0.217,86.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,287.0,0.302,49.0,105,0,0.0,NA,105,100.0,5.07 (4.63-5.52)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.33,50.0,120,1,0.83,1.95 (NA-NA),119,99.17,3.63 (3.33-3.94)
astrocytes 4,102.0,0.154,26.0,42,0,0.0,NA,42,100.0,5.68 (4.96-6.40)
oligodendrocytes 0,261.0,0.133,19.0,42,0,0.0,NA,42,100.0,4.06 (3.37-4.75)
microglia 1,480.0,0.228,66.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,127.0,0.113,4.0,45,0,0.0,NA,45,100.0,4.32 (3.47-5.16)
oligodendrocytes 2,407.0,0.179,72.0,122,2,1.64,1.25 (-0.12-2.62),120,98.36,3.38 (2.99-3.76)
