tipo_celular,module_size,MAP3K1_MM,MAP3K1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.209,67.0,73,8,10.96,3.72 (3.26-4.19),65,89.04,3.54 (3.15-3.93)
T cells 18,610.0,0.228,91.0,98,19,19.39,2.47 (1.79-3.16),79,80.61,3.28 (2.94-3.63)
astrocytes 5,1656.0,0.108,38.0,136,1,0.74,1.96 (NA-NA),135,99.26,3.22 (2.95-3.49)
oligodendrocyte progenitor cells 7,436.0,0.154,66.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,1069.0,0.154,42.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1316.0,0.176,87.0,101,2,1.98,2.76 (2.30-3.22),99,98.02,3.06 (2.70-3.42)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.176,39.0,120,20,16.67,3.34 (2.90-3.79),100,83.33,4.91 (4.56-5.25)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.16,68.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,727.0,0.105,48.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,143.0,0.442,57.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,111.0,0.267,41.0,26,2,7.69,2.60 (2.45-2.75),24,92.31,2.52 (1.78-3.25)
astrocytes 15,443.0,0.187,75.0,9,3,33.33,2.04 (-0.10-4.18),6,66.67,3.68 (2.17-5.18)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,46.0,0.374,80.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.141,44.0,104,12,11.54,1.83 (1.22-2.45),92,88.46,3.01 (2.71-3.31)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,1615.0,0.123,68.0,161,20,12.42,2.40 (1.72-3.08),141,87.58,3.42 (3.13-3.70)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
