tipo_celular,module_size,ITGA6_MM,ITGA6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,159.0,0.245,73.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51)
T cells 18,477.0,0.114,19.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,499.0,0.102,9.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.408,94.0,120,40,33.33,4.34 (3.81-4.86),80,66.67,4.77 (4.38-5.16)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,1266.0,0.067,34.0,66,16,24.24,3.34 (2.56-4.11),50,75.76,3.18 (2.68-3.69)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.139,85.0,96,17,17.71,4.31 (3.33-5.30),79,82.29,3.46 (2.96-3.96)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,44.0,0.267,40.0,2,0,0.0,NA,2,100.0,4.12 (4.00-4.25)
astrocytes 4,752.0,0.13,19.0,96,13,13.54,2.98 (2.45-3.50),83,86.46,3.35 (2.97-3.73)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,346.0,0.083,6.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
