tipo_celular,module_size,SREK1_MM,SREK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.17,50.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,477.0,0.121,22.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1141.0,0.098,12.0,166,10,6.02,1.97 (1.19-2.75),156,93.98,3.48 (3.22-3.73)
oligodendrocyte progenitor cells 7,4285.0,0.126,35.0,353,18,5.1,1.58 (1.03-2.13),335,94.9,4.03 (3.85-4.21)
GABA neurons expressing GLU receptors 22,192.0,0.111,36.0,55,1,1.82,NA,54,98.18,4.03 (3.61-4.44)
GLU like neurons 17,1247.0,0.13,47.0,51,1,1.96,NA,50,98.04,3.62 (3.05-4.20)
da like neurons 11,137.0,0.187,20.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.082,15.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,295.0,0.216,60.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,3052.0,0.074,6.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.053,13.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.154,99.0,276,12,4.35,2.11 (1.55-2.66),264,95.65,3.62 (3.40-3.84)
oligodendrocytes 10,2107.0,0.182,63.0,358,18,5.03,1.58 (1.03-2.13),340,94.97,4.01 (3.82-4.20)
connective tissue cells 21,104.0,0.279,41.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,443.0,0.112,21.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55)
oligodendrocytes 16,51.0,0.238,54.0,1,0,0.0,NA,1,100.0,3.22 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,110.0,0.285,37.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.141,29.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,1186.0,0.153,65.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,958.0,0.093,22.0,290,1,0.34,3.22 (NA-NA),289,99.66,3.82 (3.59-4.05)
oligodendrocytes 3,357.0,0.097,52.0,127,1,0.79,NA,126,99.21,3.12 (2.79-3.45)
oligodendrocytes 2,921.0,0.138,51.0,200,3,1.5,3.22 (NA-NA),197,98.5,3.62 (3.36-3.89)
