tipo_celular,module_size,BTBD7_MM,BTBD7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.113,16.0,102,2,1.96,0.83 (0.75-0.91),100,98.04,3.56 (3.19-3.92)
T cells 18,727.0,0.131,39.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,932.0,0.098,34.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.152,76.0,353,6,1.7,0.55 (0.29-0.81),347,98.3,3.96 (3.78-4.15)
GABA neurons expressing GLU receptors 22,703.0,0.221,72.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88)
GLU like neurons 17,489.0,0.108,29.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,145.0,0.093,12.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.169,78.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,330.0,0.313,88.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,3052.0,0.2,92.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.051,13.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,3303.0,0.1,74.0,276,2,0.72,1.02 (0.73-1.32),274,99.28,3.57 (3.35-3.78)
oligodendrocytes 10,2107.0,0.236,79.0,358,8,2.23,0.62 (0.41-0.83),350,97.77,3.96 (3.77-4.15)
connective tissue cells 21,92.0,0.219,21.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.085,50.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,105.0,0.186,32.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,253.0,0.34,94.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17)
astrocytes 4,752.0,0.136,26.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,1186.0,0.152,64.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,958.0,0.114,55.0,290,2,0.69,0.83 (0.75-0.91),288,99.31,3.84 (3.61-4.07)
oligodendrocytes 3,681.0,0.134,79.0,87,3,3.45,0.75 (0.33-1.17),84,96.55,2.65 (2.38-2.92)
oligodendrocytes 2,407.0,0.146,41.0,122,8,6.56,0.62 (0.41-0.83),114,93.44,3.58 (3.20-3.96)
