tipo_celular,module_size,RPS27L_MM,RPS27L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184.0,0.301,88.0,21,8,38.1,1.14 (0.36-1.93),13,61.9,3.07 (2.48-3.67)
T cells 18,282.0,0.162,51.0,241,1,0.41,2.23 (NA-NA),240,99.59,4.07 (3.81-4.32)
astrocytes 5,1656.0,0.097,22.0,136,9,6.62,2.29 (1.38-3.21),127,93.38,3.28 (3.00-3.56)
oligodendrocyte progenitor cells 7,628.0,0.133,28.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,487.0,0.339,84.0,73,18,24.66,3.24 (2.44-4.05),55,75.34,2.56 (2.14-2.98)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.345,77.0,302,14,4.64,3.95 (2.83-5.06),288,95.36,3.98 (3.75-4.21)
oligodendrocytes 20,271.0,0.216,66.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2402.0,0.406,80.0,455,49,10.77,2.97 (2.40-3.54),406,89.23,4.57 (4.39-4.75)
astrocytes 8,603.0,0.081,53.0,89,21,23.6,2.66 (2.09-3.23),68,76.4,2.81 (2.36-3.25)
oligodendrocyte progenitor cells 12,1049.0,0.114,62.0,235,18,7.66,4.01 (3.36-4.67),217,92.34,3.80 (3.56-4.05)
oligodendrocytes 10,483.0,0.101,43.0,129,21,16.28,4.33 (3.61-5.06),108,83.72,3.21 (2.77-3.65)
connective tissue cells 21,106.0,0.324,69.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09)
astrocytes 15,1768.0,0.038,6.0,105,21,20.0,1.73 (1.26-2.19),84,80.0,3.62 (3.27-3.98)
oligodendrocytes 16,91.0,0.271,89.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,116.0,0.242,10.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80)
astrocytes 4,1807.0,0.158,75.0,104,19,18.27,1.60 (1.09-2.12),85,81.73,3.17 (2.88-3.46)
oligodendrocytes 0,613.0,0.129,36.0,127,12,9.45,3.07 (1.88-4.27),115,90.55,3.05 (2.60-3.49)
microglia 1,406.0,0.157,41.0,278,18,6.47,4.41 (3.77-5.05),260,93.53,4.36 (4.07-4.65)
oligodendrocytes 3,303.0,0.074,15.0,154,14,9.09,4.26 (3.47-5.05),140,90.91,3.55 (3.21-3.89)
oligodendrocytes 2,1630.0,0.126,20.0,154,5,3.25,3.72 (2.31-5.12),149,96.75,3.23 (2.96-3.50)
