tipo_celular,module_size,SNX24_MM,SNX24_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.253,83.0,32,2,6.25,5.16 (NA-NA),30,93.75,3.67 (2.87-4.47)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.107,19.0,166,2,1.2,0.55 (NA-NA),164,98.8,3.41 (3.16-3.66)
oligodendrocyte progenitor cells 7,4285.0,0.16,85.0,353,2,0.57,1.25 (-0.12-2.62),351,99.43,3.91 (3.72-4.09)
GABA neurons expressing GLU receptors 22,714.0,0.224,71.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,1316.0,0.232,97.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,71.0,0.379,82.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,238.0,0.102,11.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,1653.0,0.138,58.0,297,1,0.34,NA,296,99.66,3.67 (3.47-3.88)
oligodendrocytes 20,233.0,0.131,18.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,3052.0,0.173,78.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.141,69.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.116,87.0,276,2,0.72,1.25 (-0.12-2.62),274,99.28,3.56 (3.35-3.78)
oligodendrocytes 10,1277.0,0.085,35.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,136.0,0.216,13.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,443.0,0.162,58.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55)
oligodendrocytes 16,156.0,0.333,95.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,398.0,0.081,9.0,138,1,0.72,0.55 (NA-NA),137,99.28,4.86 (4.50-5.23)
astrocytes microglia 23,253.0,0.211,25.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17)
astrocytes 4,752.0,0.123,12.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,117.0,0.105,18.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88)
microglia 1,346.0,0.266,88.0,43,4,9.3,4.36 (2.78-5.94),39,90.7,3.73 (3.20-4.26)
oligodendrocytes 3,242.0,0.182,73.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,347.0,0.36,95.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
