tipo_celular,module_size,FAT3_MM,FAT3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,156.0,0.334,97.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,200.0,0.293,87.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74)
GABA neurons expressing GLU receptors 22,459.0,0.458,100.0,165,1,0.61,4.39 (NA-NA),164,99.39,5.07 (4.72-5.42)
GLU like neurons 17,489.0,0.559,100.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,132.0,0.105,16.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22)
GABA neurons expressing GABA receptors 13,93.0,0.25,93.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.204,49.0,306,3,0.98,3.16 (0.25-6.06),303,99.02,5.12 (4.86-5.38)
astrocytes 8,1266.0,0.248,98.0,66,1,1.52,0.21 (NA-NA),65,98.48,3.28 (2.87-3.69)
oligodendrocyte progenitor cells 12,3303.0,0.064,31.0,276,0,0.0,NA,276,100.0,3.54 (3.32-3.76)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,418.0,0.48,89.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,448.0,0.199,96.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,122.0,0.38,83.0,46,0,0.0,NA,46,100.0,5.03 (4.47-5.59)
astrocytes 4,161.0,0.278,84.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
