tipo_celular,module_size,TSEN2_MM,TSEN2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.113,17.0,97,3,3.09,4.29 (2.56-6.01),94,96.91,3.01 (2.61-3.41)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.111,53.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.148,70.0,353,41,11.61,1.88 (1.49-2.28),312,88.39,4.23 (4.05-4.40)
GABA neurons expressing GLU receptors 22,1069.0,0.142,34.0,37,3,8.11,1.90 (1.43-2.38),34,91.89,2.18 (1.68-2.68)
GLU like neurons 17,1316.0,0.096,24.0,101,2,1.98,2.68 (2.38-2.97),99,98.02,3.06 (2.70-3.42)
da like neurons 11,289.0,0.26,79.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.076,25.0,169,3,1.78,0.69 (0.05-1.34),166,98.22,3.54 (3.33-3.75)
GABA like neurons 14,2090.0,0.111,20.0,74,7,9.46,1.97 (1.61-2.33),67,90.54,3.04 (2.64-3.45)
astrocytes 8,354.0,0.167,74.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,708.0,0.061,18.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,2107.0,0.119,38.0,358,40,11.17,1.81 (1.43-2.20),318,88.83,4.20 (4.02-4.38)
connective tissue cells 21,91.0,0.267,33.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44)
astrocytes 15,1401.0,0.074,39.0,96,3,3.12,2.48 (0.70-4.26),93,96.88,3.66 (3.20-4.12)
oligodendrocytes 16,64.0,0.176,39.0,1,0,0.0,NA,1,100.0,2.12 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,83.0,0.3,46.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.168,79.0,61,1,1.64,3.00 (NA-NA),60,98.36,2.97 (2.55-3.38)
oligodendrocytes 0,479.0,0.121,22.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,813.0,0.105,35.0,79,4,5.06,5.18 (5.15-5.22),75,94.94,2.98 (2.57-3.39)
oligodendrocytes 3,639.0,0.072,27.0,15,5,33.33,0.91 (0.08-1.73),10,66.67,4.82 (3.51-6.13)
oligodendrocytes 2,804.0,0.13,24.0,84,10,11.9,2.06 (1.04-3.09),74,88.1,2.78 (2.43-3.14)
