tipo_celular,module_size,WDR37_MM,WDR37_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.107,15.0,73,1,1.37,2.78 (NA-NA),72,98.63,3.58 (3.23-3.93)
T cells 18,727.0,0.158,61.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,423.0,0.116,25.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88)
oligodendrocyte progenitor cells 7,4285.0,0.149,71.0,353,9,2.55,0.75 (0.40-1.10),344,97.45,4.00 (3.82-4.18)
GABA neurons expressing GLU receptors 22,823.0,0.15,31.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,1247.0,0.147,60.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,82.0,0.314,67.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.136,57.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,322.0,0.045,11.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2090.0,0.177,66.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,577.0,0.095,58.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70)
oligodendrocyte progenitor cells 12,3303.0,0.073,43.0,276,3,1.09,1.22 (0.43-2.02),273,98.91,3.57 (3.36-3.79)
oligodendrocytes 10,2107.0,0.16,55.0,358,9,2.51,0.75 (0.40-1.10),349,97.49,3.97 (3.78-4.15)
connective tissue cells 21,77.0,0.344,77.0,3,0,0.0,NA,3,100.0,2.87 (-1.86-7.60)
astrocytes 15,1401.0,0.066,31.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,108.0,0.138,20.0,5,0,0.0,NA,5,100.0,3.97 (2.94-5.00)
da neurons 6,553.0,0.085,17.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,45.0,0.251,25.0,8,0,0.0,NA,8,100.0,NA
astrocytes 4,514.0,0.137,19.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79)
oligodendrocytes 0,2078.0,0.111,43.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,1615.0,0.084,14.0,161,9,5.59,0.75 (0.40-1.10),152,94.41,3.46 (3.20-3.72)
oligodendrocytes 3,854.0,0.096,57.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11)
oligodendrocytes 2,921.0,0.128,34.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89)
