tipo_celular,module_size,COG4_MM,COG4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,393.0,0.162,56.0,59,2,3.39,3.09 (2.64-3.53),57,96.61,3.11 (2.59-3.63)
astrocytes 5,932.0,0.1,37.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.108,15.0,353,28,7.93,2.36 (1.69-3.04),325,92.07,4.06 (3.88-4.25)
GABA neurons expressing GLU receptors 22,703.0,0.113,13.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,215.0,0.074,5.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.025,3.0,169,7,4.14,2.02 (0.88-3.17),162,95.86,3.56 (3.34-3.77)
GABA like neurons 14,2090.0,0.098,12.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.078,47.0,66,10,15.15,1.07 (0.59-1.55),56,84.85,3.68 (3.30-4.07)
oligodendrocyte progenitor cells 12,708.0,0.029,2.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08)
oligodendrocytes 10,1277.0,0.037,5.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,139.0,0.327,63.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,338.0,0.036,2.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,75.0,0.197,56.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,518.0,0.054,1.0,122,18,14.75,1.71 (1.21-2.20),104,85.25,4.54 (4.15-4.92)
astrocytes microglia 23,70.0,0.286,27.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 4,1807.0,0.162,81.0,104,10,9.62,1.75 (0.94-2.57),94,90.38,2.99 (2.70-3.28)
oligodendrocytes 0,2078.0,0.102,25.0,238,8,3.36,3.31 (1.91-4.70),230,96.64,3.65 (3.43-3.87)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,357.0,0.028,0.0,127,1,0.79,6.89 (NA-NA),126,99.21,3.08 (2.76-3.41)
oligodendrocytes 2,1630.0,0.147,62.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
