tipo_celular,module_size,PARD3_MM,PARD3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,222.0,0.267,75.0,98,14,14.29,5.25 (3.52-6.97),84,85.71,4.50 (4.11-4.89)
oligodendrocyte progenitor cells 7,4285.0,0.1,9.0,353,38,10.76,2.51 (2.08-2.94),315,89.24,4.11 (3.92-4.30)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,685.0,0.383,96.0,135,24,17.78,2.50 (1.91-3.09),111,82.22,3.37 (3.03-3.72)
da like neurons 11,82.0,0.34,75.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.543,93.0,62,3,4.84,2.90 (2.44-3.36),59,95.16,4.12 (3.65-4.58)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.297,87.0,306,64,20.92,4.25 (3.73-4.78),242,79.08,5.42 (5.14-5.71)
astrocytes 8,1266.0,0.319,99.0,66,19,28.79,3.22 (2.49-3.95),47,71.21,3.23 (2.71-3.75)
oligodendrocyte progenitor cells 12,411.0,0.273,69.0,103,17,16.5,5.65 (4.54-6.76),86,83.5,5.53 (5.12-5.93)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,147.0,0.323,87.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80)
astrocytes 15,418.0,0.085,46.0,54,5,9.26,3.70 (2.11-5.30),49,90.74,3.68 (3.22-4.14)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,166.0,0.452,94.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36)
astrocytes 4,255.0,0.356,99.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
