tipo_celular,module_size,ARHGAP1_MM,ARHGAP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,349.0,0.12,25.0,68,10,14.71,2.68 (1.45-3.90),58,85.29,4.72 (4.15-5.30)
astrocytes 5,932.0,0.125,73.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.135,49.0,353,35,9.92,2.78 (2.16-3.39),318,90.08,4.04 (3.85-4.22)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,408.0,0.128,33.0,25,7,28.0,1.35 (0.50-2.21),18,72.0,6.01 (4.76-7.26)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.094,11.0,74,2,2.7,4.15 (2.64-5.65),72,97.3,5.52 (4.95-6.09)
oligodendrocytes 20,330.0,0.168,50.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,2090.0,0.125,29.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.081,49.0,66,16,24.24,2.46 (1.52-3.39),50,75.76,3.53 (3.10-3.95)
oligodendrocyte progenitor cells 12,708.0,0.211,76.0,32,16,50.0,2.21 (1.48-2.94),16,50.0,4.44 (3.17-5.70)
oligodendrocytes 10,1277.0,0.076,28.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,96.0,0.267,34.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.087,52.0,96,6,6.25,4.07 (1.50-6.63),90,93.75,3.59 (3.14-4.05)
oligodendrocytes 16,82.0,0.209,59.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,41.0,0.3,43.0,2,0,0.0,NA,2,100.0,1.57 (1.57-1.57)
astrocytes 4,721.0,0.139,26.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,309.0,0.145,63.0,30,2,6.67,5.16 (5.16-5.16),28,93.33,6.18 (5.53-6.83)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.104,59.0,111,1,0.9,6.67 (NA-NA),110,99.1,3.27 (2.93-3.61)
oligodendrocytes 2,407.0,0.156,53.0,122,17,13.93,1.74 (1.10-2.37),105,86.07,3.67 (3.26-4.09)
