tipo_celular,module_size,SLC6A11_MM,SLC6A11_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,222.0,0.318,87.0,98,2,2.04,3.60 (1.80-5.40),96,97.96,4.62 (4.21-5.04)
oligodendrocyte progenitor cells 7,200.0,0.415,95.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04)
GABA neurons expressing GLU receptors 22,823.0,0.178,49.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,685.0,0.338,94.0,135,2,1.48,1.92 (0.69-3.14),133,98.52,3.21 (2.90-3.52)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.189,87.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,279.0,0.272,47.0,78,2,2.56,2.53 (2.34-2.73),76,97.44,4.37 (3.95-4.79)
oligodendrocyte progenitor cells 12,3303.0,0.069,37.0,276,5,1.81,2.55 (1.85-3.25),271,98.19,3.57 (3.34-3.79)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,418.0,0.39,82.0,54,15,27.78,3.05 (2.64-3.46),39,72.22,3.97 (3.38-4.56)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,122.0,0.577,99.0,46,1,2.17,4.52 (NA-NA),45,97.83,5.04 (4.47-5.62)
astrocytes 4,251.0,0.361,100.0,34,4,11.76,4.34 (2.71-5.96),30,88.24,5.37 (4.71-6.03)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
