tipo_celular,module_size,ZNF84_MM,ZNF84_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.282,88.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,610.0,0.098,13.0,98,19,19.39,1.22 (0.90-1.54),79,80.61,3.64 (3.35-3.93)
astrocytes 5,1656.0,0.138,84.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57)
oligodendrocyte progenitor cells 7,4285.0,0.155,80.0,353,35,9.92,1.58 (1.32-1.84),318,90.08,4.23 (4.06-4.40)
GABA neurons expressing GLU receptors 22,1069.0,0.159,46.0,37,4,10.81,2.06 (1.60-2.51),33,89.19,2.17 (1.65-2.69)
GLU like neurons 17,1247.0,0.068,9.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,168.0,0.101,35.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.098,25.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,676.0,0.044,17.0,110,3,2.73,0.90 (0.75-1.04),107,97.27,5.16 (4.73-5.58)
GABA like neurons 14,2090.0,0.114,22.0,74,15,20.27,2.32 (2.04-2.60),59,79.73,3.13 (2.66-3.60)
astrocytes 8,260.0,0.087,26.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,3303.0,0.086,59.0,276,29,10.51,1.69 (1.48-1.90),247,89.49,3.84 (3.62-4.06)
oligodendrocytes 10,2107.0,0.032,2.0,358,39,10.89,1.55 (1.30-1.79),319,89.11,4.26 (4.08-4.44)
connective tissue cells 21,126.0,0.401,97.0,7,3,42.86,1.36 (0.78-1.94),4,57.14,1.65 (-0.44-3.74)
astrocytes 15,1401.0,0.109,70.0,96,1,1.04,1.85 (NA-NA),95,98.96,3.64 (3.18-4.09)
oligodendrocytes 16,94.0,0.32,95.0,5,0,0.0,NA,5,100.0,2.89 (1.71-4.06)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,52.0,0.52,100.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,1807.0,0.17,91.0,104,18,17.31,1.30 (1.04-1.57),86,82.69,3.22 (2.94-3.51)
oligodendrocytes 0,2078.0,0.127,76.0,238,9,3.78,2.10 (1.58-2.62),229,96.22,3.71 (3.48-3.93)
microglia 1,1615.0,0.102,39.0,161,35,21.74,1.58 (1.32-1.84),126,78.26,3.88 (3.62-4.15)
oligodendrocytes 3,743.0,0.07,33.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,921.0,0.132,40.0,200,1,0.5,1.32 (NA-NA),199,99.5,3.64 (3.37-3.90)
