tipo_celular,module_size,UGCG_MM,UGCG_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.142,39.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,388.0,0.075,8.0,84,1,1.19,3.61 (NA-NA),83,98.81,2.97 (2.63-3.30)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.132,45.0,353,30,8.5,1.86 (1.43-2.29),323,91.5,4.14 (3.96-4.32)
GABA neurons expressing GLU receptors 22,714.0,0.128,18.0,17,1,5.88,2.68 (NA-NA),16,94.12,2.28 (1.66-2.91)
GLU like neurons 17,489.0,0.081,12.0,42,6,14.29,5.16 (4.00-6.32),36,85.71,6.20 (5.58-6.82)
da like neurons 11,145.0,0.151,30.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,73.0,0.119,17.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17)
endothelial cells 9,1653.0,0.071,8.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.2,41.0,455,23,5.05,1.87 (1.32-2.43),432,94.95,4.53 (4.35-4.71)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.052,18.0,276,18,6.52,1.99 (1.51-2.48),258,93.48,3.69 (3.46-3.91)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,86.0,0.314,71.0,7,0,0.0,NA,7,100.0,3.20 (2.46-3.95)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,448.0,0.098,45.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,255.0,0.308,85.0,57,3,5.26,2.94 (2.67-3.20),54,94.74,2.63 (2.25-3.02)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,346.0,0.293,91.0,43,3,6.98,3.90 (2.74-5.05),40,93.02,3.76 (3.21-4.30)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
