tipo_celular,module_size,NTNG1_MM,NTNG1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.128,27.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,436.0,0.097,28.0,219,34,15.53,5.59 (4.90-6.29),185,84.47,5.11 (4.80-5.42)
GABA neurons expressing GLU receptors 22,714.0,0.196,58.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,795.0,0.312,94.0,80,6,7.5,3.98 (2.13-5.83),74,92.5,5.81 (5.40-6.22)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.182,38.0,306,53,17.32,4.57 (3.92-5.21),253,82.68,5.26 (4.98-5.53)
astrocytes 8,1266.0,0.11,72.0,66,12,18.18,3.43 (2.40-4.46),54,81.82,3.17 (2.71-3.63)
oligodendrocyte progenitor cells 12,254.0,0.423,88.0,37,10,27.03,3.93 (3.00-4.86),27,72.97,4.77 (4.05-5.49)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.131,84.0,105,5,4.76,1.23 (0.54-1.93),100,95.24,3.32 (2.98-3.66)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,46.0,0.27,56.0,73,0,0.0,NA,73,100.0,4.07 (3.76-4.38)
astrocytes 4,752.0,0.127,15.0,96,3,3.12,4.33 (3.16-5.50),93,96.88,3.25 (2.91-3.58)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
