tipo_celular,module_size,SMG9_MM,SMG9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206.0,0.299,92.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.108,38.0,136,3,2.21,1.40 (1.32-1.48),133,97.79,3.25 (2.98-3.53)
oligodendrocyte progenitor cells 7,4285.0,0.159,84.0,353,33,9.35,2.49 (1.96-3.03),320,90.65,4.08 (3.89-4.27)
GABA neurons expressing GLU receptors 22,400.0,0.224,65.0,24,5,20.83,2.33 (0.93-3.73),19,79.17,2.11 (1.56-2.66)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,853.0,0.087,15.0,133,23,17.29,2.15 (1.72-2.59),110,82.71,3.54 (3.18-3.89)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,676.0,0.037,13.0,110,7,6.36,2.68 (1.39-3.98),103,93.64,5.22 (4.78-5.66)
GABA like neurons 14,3052.0,0.09,12.0,125,1,0.8,5.57 (NA-NA),124,99.2,3.33 (3.01-3.65)
astrocytes 8,1266.0,0.061,27.0,66,9,13.64,2.72 (1.67-3.76),57,86.36,3.32 (2.86-3.78)
oligodendrocyte progenitor cells 12,3303.0,0.052,17.0,276,26,9.42,2.27 (1.69-2.86),250,90.58,3.71 (3.49-3.94)
oligodendrocytes 10,735.0,0.054,14.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.142,87.0,96,2,2.08,2.76 (0.97-4.55),94,97.92,3.63 (3.18-4.09)
oligodendrocytes 16,64.0,0.344,91.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518.0,0.079,15.0,122,6,4.92,2.48 (1.08-3.88),116,95.08,4.09 (3.69-4.49)
astrocytes microglia 23,125.0,0.281,32.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.173,94.0,104,14,13.46,1.53 (1.03-2.02),90,86.54,3.09 (2.80-3.38)
oligodendrocytes 0,2078.0,0.129,81.0,238,8,3.36,3.48 (2.08-4.89),230,96.64,3.64 (3.42-3.87)
microglia 1,958.0,0.104,40.0,290,12,4.14,3.87 (2.59-5.14),278,95.86,3.81 (3.58-4.04)
oligodendrocytes 3,681.0,0.085,41.0,87,25,28.74,2.23 (1.82-2.64),62,71.26,2.74 (2.40-3.09)
oligodendrocytes 2,1630.0,0.175,97.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
