tipo_celular,module_size,BCAP31_MM,BCAP31_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172.0,0.172,50.0,140,5,3.57,3.34 (1.62-5.06),135,96.43,4.58 (4.14-5.01)
T cells 18,393.0,0.094,9.0,59,2,3.39,4.04 (4.00-4.08),57,96.61,3.07 (2.55-3.59)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,296.0,0.168,40.0,251,2,0.8,3.90 (3.90-3.90),249,99.2,4.07 (3.83-4.31)
GABA neurons expressing GLU receptors 22,487.0,0.267,68.0,73,2,2.74,1.57 (1.57-1.57),71,97.26,2.79 (2.40-3.19)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.279,77.0,410,54,13.17,4.32 (3.90-4.74),356,86.83,4.23 (4.02-4.44)
GABA neurons expressing GABA receptors 13,265.0,0.119,27.0,78,14,17.95,3.75 (3.03-4.48),64,82.05,4.54 (4.06-5.03)
endothelial cells 9,559.0,0.267,77.0,155,3,1.94,3.13 (NA-NA),152,98.06,4.35 (3.98-4.72)
oligodendrocytes 20,271.0,0.158,43.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2402.0,0.586,94.0,455,68,14.95,4.13 (3.64-4.61),387,85.05,4.40 (4.20-4.59)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.038,6.0,276,44,15.94,2.85 (2.49-3.22),232,84.06,3.72 (3.47-3.97)
oligodendrocytes 10,735.0,0.269,97.0,277,11,3.97,6.83 (6.10-7.56),266,96.03,3.72 (3.49-3.96)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,313.0,0.193,40.0,291,39,13.4,3.83 (3.39-4.27),252,86.6,4.43 (4.18-4.69)
da neurons 6,409.0,0.088,24.0,235,6,2.55,3.50 (1.84-5.16),229,97.45,3.99 (3.74-4.24)
astrocytes microglia 23,131.0,0.283,31.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,116.0,0.111,24.0,169,1,0.59,2.08 (NA-NA),168,99.41,4.29 (4.00-4.59)
microglia 1,406.0,0.164,43.0,278,20,7.19,5.25 (4.53-5.96),258,92.81,4.27 (3.98-4.56)
oligodendrocytes 3,457.0,0.161,69.0,345,47,13.62,4.14 (3.71-4.57),298,86.38,4.31 (4.07-4.54)
oligodendrocytes 2,526.0,0.193,27.0,213,9,4.23,6.33 (5.61-7.05),204,95.77,3.84 (3.57-4.11)
