tipo_celular,module_size,HNRNPF_MM,HNRNPF_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.241,68.0,17,1,5.88,3.05 (NA-NA),16,94.12,1.83 (1.19-2.47)
T cells 18,393.0,0.139,41.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,1656.0,0.142,88.0,136,9,6.62,1.93 (1.48-2.38),127,93.38,3.31 (3.03-3.59)
oligodendrocyte progenitor cells 7,666.0,0.153,39.0,127,3,2.36,0.90 (0.75-1.04),124,97.64,3.94 (3.61-4.27)
GABA neurons expressing GLU receptors 22,487.0,0.178,32.0,73,5,6.85,1.64 (1.24-2.04),68,93.15,2.85 (2.44-3.26)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.174,56.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,295.0,0.179,46.0,28,2,7.14,1.89 (0.99-2.80),26,92.86,2.22 (1.72-2.71)
GABA like neurons 14,2402.0,0.103,9.0,455,34,7.47,1.90 (1.51-2.29),421,92.53,4.62 (4.44-4.79)
astrocytes 8,577.0,0.067,35.0,83,3,3.61,1.55 (0.88-2.21),80,96.39,3.33 (2.87-3.79)
oligodendrocyte progenitor cells 12,1049.0,0.079,41.0,235,9,3.83,3.00 (2.39-3.61),226,96.17,3.86 (3.62-4.10)
oligodendrocytes 10,483.0,0.156,64.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,125.0,0.294,50.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99)
astrocytes 15,443.0,0.056,5.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,158.0,0.223,67.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,131.0,0.295,48.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.159,77.0,104,29,27.88,1.71 (1.41-2.02),75,72.12,3.36 (3.05-3.67)
oligodendrocytes 0,2078.0,0.132,85.0,238,5,2.1,1.82 (0.92-2.73),233,97.9,3.68 (3.46-3.90)
microglia 1,958.0,0.125,70.0,290,15,5.17,2.98 (2.25-3.70),275,94.83,3.87 (3.63-4.11)
oligodendrocytes 3,681.0,0.071,26.0,87,31,35.63,1.77 (1.49-2.05),56,64.37,3.10 (2.76-3.43)
oligodendrocytes 2,1630.0,0.147,60.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
