tipo_celular,module_size,ATP13A4_MM,ATP13A4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,222.0,0.313,85.0,98,0,0.0,NA,98,100.0,4.60 (4.19-5.00)
oligodendrocyte progenitor cells 7,436.0,0.063,9.0,219,2,0.91,3.20 (2.02-4.38),217,99.09,5.24 (4.95-5.53)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,685.0,0.176,69.0,135,5,3.7,2.73 (1.88-3.58),130,96.3,3.21 (2.89-3.53)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,330.0,0.339,92.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,279.0,0.422,100.0,78,2,2.56,2.53 (2.34-2.73),76,97.44,4.37 (3.95-4.79)
oligodendrocyte progenitor cells 12,254.0,0.402,84.0,37,2,5.41,2.53 (2.34-2.73),35,94.59,4.63 (4.04-5.22)
oligodendrocytes 10,1277.0,0.126,62.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,208.0,0.683,100.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,81.0,0.12,17.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,122.0,0.346,72.0,46,0,0.0,NA,46,100.0,5.03 (4.47-5.59)
astrocytes 4,220.0,0.196,69.0,63,0,0.0,NA,63,100.0,5.13 (4.57-5.69)
oligodendrocytes 0,479.0,0.102,9.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,94.0,0.1,55.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73)
oligodendrocytes 2,1630.0,0.129,25.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
