tipo_celular,module_size,GPC5_MM,GPC5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,282.0,0.308,98.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,222.0,0.341,90.0,98,2,2.04,1.43 (0.17-2.69),96,97.96,4.68 (4.28-5.08)
oligodendrocyte progenitor cells 7,200.0,0.446,97.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04)
GABA neurons expressing GLU receptors 22,714.0,0.619,100.0,17,3,17.65,2.29 (2.29-2.29),14,82.35,2.31 (1.60-3.03)
GLU like neurons 17,795.0,0.531,100.0,80,2,2.5,2.53 (2.34-2.73),78,97.5,5.80 (5.40-6.19)
da like neurons 11,191.0,0.337,64.0,93,4,4.3,2.57 (1.51-3.64),89,95.7,5.84 (5.46-6.21)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.72,100.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,322.0,0.08,30.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,1300.0,0.113,12.0,306,21,6.86,2.54 (1.97-3.11),285,93.14,5.38 (5.13-5.64)
astrocytes 8,218.0,0.426,100.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,3303.0,0.2,100.0,276,11,3.99,1.90 (1.43-2.37),265,96.01,3.63 (3.41-3.85)
oligodendrocytes 10,1277.0,0.193,89.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,250.0,0.311,52.0,117,5,4.27,3.19 (1.83-4.55),112,95.73,5.51 (5.11-5.91)
astrocytes 15,418.0,0.172,55.0,54,3,5.56,2.72 (1.32-4.13),51,94.44,3.75 (3.29-4.20)
oligodendrocytes 16,149.0,0.467,94.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12)
da neurons 6,398.0,0.199,66.0,138,16,11.59,2.38 (1.67-3.09),122,88.41,5.21 (4.85-5.57)
astrocytes microglia 23,122.0,0.506,95.0,46,0,0.0,NA,46,100.0,5.03 (4.47-5.59)
astrocytes 4,201.0,0.301,94.0,18,6,33.33,3.00 (2.56-3.44),12,66.67,5.46 (4.43-6.49)
oligodendrocytes 0,1186.0,0.145,51.0,300,4,1.33,3.24 (2.72-3.75),296,98.67,3.80 (3.59-4.01)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,94.0,0.267,90.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73)
oligodendrocytes 2,921.0,0.146,66.0,200,2,1.0,2.12 (1.88-2.35),198,99.0,3.64 (3.37-3.91)
