tipo_celular,module_size,CERS4_MM,CERS4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.095,9.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,727.0,0.132,40.0,49,2,4.08,3.04 (2.03-4.05),47,95.92,2.40 (1.99-2.81)
astrocytes 5,932.0,0.159,94.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,666.0,0.059,2.0,127,1,0.79,5.28 (NA-NA),126,99.21,3.82 (3.48-4.16)
GABA neurons expressing GLU receptors 22,567.0,0.151,32.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,1247.0,0.253,94.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853.0,0.212,86.0,133,8,6.02,0.64 (0.39-0.89),125,93.98,3.45 (3.15-3.76)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,253.0,0.153,46.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2090.0,0.388,100.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,1266.0,0.132,82.0,66,7,10.61,0.81 (0.18-1.45),59,89.39,3.56 (3.18-3.95)
oligodendrocyte progenitor cells 12,708.0,0.092,41.0,32,7,21.88,1.06 (0.16-1.95),25,78.12,3.97 (3.14-4.80)
oligodendrocytes 10,1277.0,0.113,53.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,102.0,0.308,62.0,5,0,0.0,NA,5,100.0,1.38 (1.02-1.75)
astrocytes 15,458.0,0.046,15.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,64.0,0.154,27.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,80.0,0.265,17.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.173,86.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,1186.0,0.135,34.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,958.0,0.084,11.0,290,1,0.34,4.07 (NA-NA),289,99.66,3.81 (3.58-4.04)
oligodendrocytes 3,357.0,0.13,72.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,407.0,0.151,48.0,122,8,6.56,0.69 (0.32-1.07),114,93.44,3.57 (3.19-3.95)
