tipo_celular,module_size,BRSK1_MM,BRSK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.137,53.0,353,60,17.0,2.41 (2.10-2.73),293,83.0,4.28 (4.09-4.47)
GABA neurons expressing GLU receptors 22,703.0,0.209,64.0,23,2,8.7,1.85 (0.53-3.17),21,91.3,2.12 (1.34-2.89)
GLU like neurons 17,1247.0,0.119,38.0,51,6,11.76,3.77 (2.25-5.30),45,88.24,3.61 (2.98-4.23)
da like neurons 11,853.0,0.154,65.0,133,31,23.31,2.47 (1.91-3.02),102,76.69,3.55 (3.19-3.91)
GABA neurons expressing GABA receptors 13,266.0,0.181,61.0,118,11,9.32,4.43 (3.77-5.09),107,90.68,4.77 (4.38-5.16)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,233.0,0.009,0.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,2090.0,0.203,81.0,74,2,2.7,2.87 (2.19-3.55),72,97.3,2.94 (2.56-3.33)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.089,63.0,276,53,19.2,2.80 (2.45-3.14),223,80.8,3.77 (3.52-4.03)
oligodendrocytes 10,806.0,0.102,27.0,261,54,20.69,4.62 (4.05-5.19),207,79.31,4.30 (4.03-4.56)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,121.0,0.236,61.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89)
da neurons 6,553.0,0.128,51.0,124,16,12.9,3.79 (2.94-4.63),108,87.1,4.24 (3.81-4.68)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,479.0,0.133,35.0,40,19,47.5,6.40 (5.50-7.29),21,52.5,5.39 (4.90-5.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.088,43.0,15,8,53.33,1.58 (0.75-2.42),7,46.67,6.08 (5.29-6.88)
oligodendrocytes 2,348.0,0.121,10.0,114,38,33.33,5.13 (4.48-5.78),76,66.67,5.10 (4.57-5.64)
