tipo_celular,module_size,ARHGAP12_MM,ARHGAP12_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500,0.158,47.0,32,6,18.75,6.07 (4.92-7.22),26,81.25,3.19 (2.43-3.95)
T cells 18,477,0.176,60.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1141,0.156,81.0,166,4,2.41,1.51 (0.22-2.80),162,97.59,3.45 (3.20-3.70)
oligodendrocyte progenitor cells 7,4285,0.141,60.0,353,13,3.68,1.77 (1.22-2.32),340,96.32,4.00 (3.81-4.18)
GABA neurons expressing GLU receptors 22,714,0.188,54.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00)
GLU like neurons 17,300,0.173,35.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93)
da like neurons 11,82,0.288,59.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,357,0.102,16.0,237,1,0.42,3.24 (NA-NA),236,99.58,4.41 (4.18-4.65)
endothelial cells 9,1653,0.126,49.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,275,0.117,18.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,3052,0.184,85.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771,0.048,12.0,48,4,8.33,4.47 (2.05-6.88),44,91.67,4.43 (3.62-5.23)
oligodendrocyte progenitor cells 12,3303,0.128,93.0,276,8,2.9,1.68 (1.14-2.23),268,97.1,3.61 (3.40-3.83)
oligodendrocytes 10,2107,0.11,34.0,358,14,3.91,1.46 (0.98-1.95),344,96.09,3.99 (3.80-4.18)
connective tissue cells 21,111,0.246,32.0,26,0,0.0,NA,26,100.0,2.52 (1.86-3.18)
astrocytes 15,1768,0.041,7.0,105,7,6.67,1.64 (0.93-2.34),98,93.33,3.33 (2.99-3.68)
oligodendrocytes 16,74,0.32,94.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518,0.099,37.0,122,10,8.2,1.85 (1.16-2.54),112,91.8,4.25 (3.85-4.64)
astrocytes microglia 23,253,0.22,32.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17)
astrocytes 4,752,0.148,41.0,96,3,3.12,3.28 (2.02-4.55),93,96.88,3.29 (2.95-3.63)
oligodendrocytes 0,187,0.266,85.0,14,3,21.43,6.26 (4.45-8.07),11,78.57,5.39 (4.74-6.05)
microglia 1,813,0.13,65.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,187,0.172,81.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,347,0.316,88.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
