tipo_celular,module_size,RPL13_MM,RPL13_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.528,95.0,98,22,22.45,2.56 (2.00-3.12),76,77.55,3.50 (2.88-4.12)
T cells 18,506,0.654,100.0,225,22,9.78,2.54 (2.00-3.08),203,90.22,3.77 (3.50-4.04)
astrocytes 5,328,0.21,68.0,128,9,7.03,3.57 (3.00-4.15),119,92.97,3.57 (3.20-3.94)
oligodendrocyte progenitor cells 7,628,0.327,92.0,164,3,1.83,3.13 (1.29-4.98),161,98.17,4.11 (3.78-4.44)
GABA neurons expressing GLU receptors 22,487,0.339,85.0,73,15,20.55,2.65 (2.00-3.30),58,79.45,2.78 (2.32-3.24)
GLU like neurons 17,685,0.241,84.0,135,27,20.0,2.23 (1.77-2.70),108,80.0,3.47 (3.12-3.82)
da like neurons 11,1220,0.324,85.0,410,16,3.9,2.90 (2.28-3.52),394,96.1,4.32 (4.13-4.51)
GABA neurons expressing GABA receptors 13,417,0.192,68.0,213,30,14.08,1.97 (1.48-2.46),183,85.92,4.15 (3.91-4.38)
endothelial cells 9,916,0.619,99.0,302,11,3.64,2.96 (2.06-3.85),291,96.36,4.03 (3.80-4.26)
oligodendrocytes 20,938,0.225,86.0,169,17,10.06,2.84 (2.17-3.51),152,89.94,3.56 (3.33-3.79)
GABA like neurons 14,2402,0.617,96.0,455,35,7.69,2.07 (1.62-2.52),420,92.31,4.61 (4.43-4.78)
astrocytes 8,603,0.257,95.0,89,18,20.22,2.40 (1.77-3.02),71,79.78,2.89 (2.47-3.31)
oligodendrocyte progenitor cells 12,1049,0.461,98.0,235,13,5.53,3.37 (2.79-3.95),222,94.47,3.86 (3.61-4.10)
oligodendrocytes 10,483,0.549,100.0,129,9,6.98,3.57 (3.00-4.15),120,93.02,3.42 (2.99-3.84)
connective tissue cells 21,301,0.659,98.0,158,16,10.13,2.62 (1.97-3.28),142,89.87,4.52 (4.13-4.91)
astrocytes 15,458,0.122,65.0,36,5,13.89,4.03 (3.13-4.94),31,86.11,3.71 (2.41-5.01)
oligodendrocytes 16,96,0.199,36.0,102,31,30.39,2.25 (1.81-2.70),71,69.61,3.96 (3.60-4.32)
da neurons 6,729,0.268,92.0,182,16,8.79,2.77 (2.12-3.41),166,91.21,3.73 (3.47-4.00)
astrocytes microglia 23,137,0.63,100.0,188,33,17.55,2.23 (1.80-2.67),155,82.45,5.00 (4.67-5.34)
astrocytes 4,208,0.183,43.0,173,9,5.2,3.57 (3.00-4.15),164,94.8,3.81 (3.49-4.13)
oligodendrocytes 0,546,0.359,96.0,252,35,13.89,2.12 (1.67-2.56),217,86.11,4.52 (4.28-4.76)
microglia 1,406,0.64,100.0,278,8,2.88,3.69 (3.08-4.30),270,97.12,4.39 (4.11-4.67)
oligodendrocytes 3,303,0.311,97.0,154,9,5.84,3.57 (3.00-4.15),145,94.16,3.62 (3.29-3.96)
oligodendrocytes 2,526,0.524,95.0,213,8,3.76,3.69 (3.08-4.30),205,96.24,3.99 (3.71-4.28)
